Read Length (nt)	UR	Percentage_UR	RC	32160018_EXO_S12	RPM
15	8604	5.349049741686406	346684	8.571179925454242	85711.79925454242
16	8950	5.564155647151712	326588	8.07434006038424	80743.4006038424
17	12490	7.764950171276523	403137	9.96688558343577	99668.8558343577
18	6980	4.339419711409938	233676	5.777246830717441	57772.468307174415
19	5049	3.138929817035642	176922	4.374099453021239	43740.994530212396
20	6921	4.302739802674525	225383	5.572216327083607	55722.16327083608
21	8486	5.275689924215579	241886	5.980225298682445	59802.25298682445
22	10195	6.3381638908057765	312837	7.734369669033843	77343.69669033843
23	9023	5.609539263044681	246784	6.101320126464733	61013.20126464734
24	8296	5.157568184220179	214334	5.299048349916089	52990.483499160895
25	7667	4.766523055498567	174738	4.320103719277565	43201.03719277565
26	7115	4.423348316143512	154804	3.8272690322599785	38272.69032259979
27	6552	4.073334949736092	136134	3.365684623379757	33656.84623379757
28	6078	3.7786522931159894	124018	3.0661368623731815	30661.368623731818
29	6114	3.8010332543782757	118859	2.9385892477286686	29385.892477286685
30	5693	3.539300346283206	106593	2.635332988525412	26353.329885254123
31	4963	3.0854641873535136	86839	2.1469484993438432	21469.484993438433
32	4627	2.8765752155721755	81213	2.0078550936469965	20078.550936469965
33	4307	2.677633337685187	79155	1.956974498388534	19569.74498388534
34	3793	2.3580829463292114	61189	1.5127953077114018	15127.953077114018
35	3188	1.9819584584491237	44656	1.1040446364732281	11040.446364732281
36	2834	1.7618790060366427	37073	0.9165676909703508	9165.676909703508
37	2422	1.5057413382571447	29480	0.7288435122543614	7288.435122543615
38	2113	1.3136380874225215	25362	0.627032875094814	6270.32875094814
39	1585	0.9853839889089903	16202	0.4005672518841643	4005.6725188416435
40	1325	0.8237437131258121	12268	0.3033057058458788	3033.0570584587877
41	1138	0.7074870532356031	8749	0.21630433815174382	2163.0433815174383
42	927	0.5763097525038701	5863	0.1449528328476025	1449.5283284760249
43	703	0.43705043798297805	4066	0.10052502445136478	1005.2502445136478
44	581	0.3612038470385636	2870	0.07095593216316205	709.5593216316206
45	455	0.2828704826205619	1925	0.04759239352407211	475.9239352407211
46	370	0.23002654630683053	1389	0.03434069330126554	343.4069330126554
47	328	0.2039154248341633	1009	0.024945831203007147	249.45831203007148
48	243	0.15107148852043195	685	0.01693547509817631	169.3547509817631
49	169	0.10506617925906585	429	0.010606304842507498	106.063048425075
50	157	0.09760585883830378	314	0.007763122891718775	77.63122891718776
51	116	0.07211643073403336	221	0.00546385400977659	54.638540097765905
52	90	0.055952403155715535	134	0.003312925055701643	33.129250557016434
53	69	0.042896842419381916	97	0.00239816216718701	23.9816216718701
54	55	0.034193135261826164	105	0.0025959487376766605	25.959487376766607
55	35	0.021759267893889375	44	0.0010878261376930768	10.878261376930768
56	18	0.011190480631143107	20	4.944664262241258E-4	4.944664262241258
57	13	0.00808201378915891	13	3.2140317704568177E-4	3.2140317704568178
58	14	0.008703707157555751	17	4.2029646229050694E-4	4.2029646229050694
