Read Length (nt)	UR	Percentage_UR	RC	181023-190319_Brain_S29	RPM
15	1162	0.5141547419934337	41839	0.1379324623138506	1379.324623138506
16	1093	0.483624038725321	33934	0.11187170286474835	1118.7170286474834
17	2013	0.8907000823001566	77936	0.2569350219386759	2569.350219386759
18	2221	0.9827346660649021	196451	0.64764860904941	6476.4860904941
19	3328	1.4725533402359272	518141	1.7081781102741667	17081.78110274167
20	8708	3.8530632472279005	1236528	4.07651597217957	40765.1597217957
21	19752	8.739745665967558	5494648	18.114446525678783	181144.4652567878
22	34100	15.088362049893364	12585006	41.48954004193656	414895.40041936556
23	28327	12.533959876461271	4252695	14.02004571858316	140200.45718583162
24	16868	7.46365076415253	2063772	6.803727469929494	68037.27469929494
25	7407	3.277404624737834	254109	0.837732260955335	8377.32260955335
26	4578	2.0256457907452146	96521	0.3182050047801136	3182.0500478011363
27	4844	2.143343864213591	116281	0.3833486615434609	3833.486615434609
28	5343	2.3641383704568986	118323	0.39008061230817526	3900.8061230817525
29	5770	2.5530747515508714	145362	0.4792212669247819	4792.212669247819
30	6570	2.907053919876815	177762	0.5860357648565863	5860.357648565862
31	8816	3.900850434951903	534293	1.7614271155394292	17614.27115539429
32	14054	6.218529039566022	777558	2.563409487125243	25634.09487125243
33	12702	5.620304245095176	679030	2.2385879176121315	22385.879176121314
34	8672	3.837134184653233	360809	1.1894948205023572	11894.948205023571
35	5216	2.307944177485155	120875	0.3984939023921865	3984.939023921865
36	4359	1.9287439934159876	110231	0.3634033617753308	3634.033617753308
37	3022	1.3371563083512534	51390	0.16941966199738956	1694.1966199738956
38	3009	1.331404146865957	51483	0.16972625916737902	1697.26259167379
39	2719	1.2030866983478021	52495	0.17306256385586624	1730.6256385586623
40	2081	0.9207883116078619	34981	0.11532339358495203	1153.2339358495203
41	1694	0.7495508889301865	25518	0.08412630735258586	841.2630735258585
42	1446	0.6398173467491438	24414	0.08048670223787252	804.8670223787252
43	1370	0.6061893257581791	26322	0.086776889338301	867.76889338301
44	1447	0.6402598207095512	45987	0.1516073554441322	1516.0735544413221
45	1013	0.4482261218927266	18290	0.06029744343125618	602.9744343125618
46	623	0.2756612773338289	3941	0.012992467171272861	129.9246717127286
47	436	0.19291864673763948	2222	0.0073253646421132445	73.25364642113244
48	333	0.1473438288156742	1343	0.004427526874148554	44.27526874148554
49	234	0.10353890673533862	724	0.00238684248464896	23.8684248464896
50	151	0.06681356802152193	414	0.001364851918017499	13.648519180174992
51	162	0.07168078158600366	400	0.001318697505330917	13.18697505330917
52	93	0.04115007831789099	238	7.846250156718957E-4	7.846250156718956
53	81	0.03584039079300183	229	7.549543218019501E-4	7.5495432180195
54	63	0.02787585950566809	226	7.450640905119682E-4	7.450640905119681
55	50	0.0221236980203715	108	3.560483264393476E-4	3.560483264393476
56	23	0.010176901089370891	60	1.9780462579963755E-4	1.9780462579963756
57	24	0.01061937504977832	36	1.1868277547978253E-4	1.1868277547978254
58	25	0.01106184901018575	36	1.1868277547978253E-4	1.1868277547978254
