sample	batch	batch_shortname
32170269_EXO_S23	181004-190521	G
32150116_EXO_S31	181004-190521	G
32161004_EXO_S10	181004-190521	G
32161392_EXO_S19	181004-190521	G
32160765_EXO_S8	181004-190521	G
32170450_EXO_S29	181004-190521	G
32160373_EXO_S3	181004-190521	G
32160284_EXO_S1	181004-190521	G
32170409_EXO_S27	181004-190521	G
32170083_EXO_S21	181004-190521	G
32161065_EXO_S14	181004-190521	G
32150978_EXO_S34	181004-190521	G
32161046_EXO_S13	181004-190521	G
32160670_EXO_S7	181004-190521	G
32170652_EXO_S30	181004-190521	G
32150704_EXO_S33	181004-190521	G
32170378_EXO_S26	181023-190319	H
32161454_EXO_S20	181023-190319	H
32160526_EXO_S15	181023-190319	H
32152086_EXO_S7	181023-190319	H
32151130_EXO_S2	181023-190319	H
32151185_EXO_S4	181023-190319	H
32170440_EXO_S27	181023-190319	H
32152175_EXO_S9	181023-190319	H
32152337_EXO_S10	181023-190319	H
32151033_EXO_S1	181023-190319	H
32170273_EXO_S23	181023-190319	H
181023-190319_Brain_S29	181023-190319	H
32152088_EXO_S8	181023-190319	H
32151825_EXO_S6	181023-190319	H
32151151_EXO_S3	181023-190319	H
32170329_EXO_S24	181023-190319	H
32170337_EXO_S25	181023-190319	H
32160079_EXO_S13	181023-190319	H
32152347_EXO_S11	181023-190319	H
32160791_EXO_S16	181023-190319	H
32161000_EXO_S17	181023-190319	H
32160288_EXO_S14	181023-190319	H
32170032_EXO_S21	181023-190319	H
32170447_EXO_S28	181023-190319	H
32160018_EXO_S12	181023-190319	H
32170073_EXO_S22	181023-190319	H
32161249_EXO_S19	181023-190319	H
32151764_EXO_S5	181023-190319	H
32161037_EXO_S18	181023-190319	H
