sample	batch		value
32151648_EXO_S4	180726-190530	readsPerc	77.63833560829075
32152253_EXO_S33	180913-190529	readsPerc	29.397226266279954
32151859_EXO_S28	180913-190529	readsPerc	26.933680748647582
32150292_EXO_S9	180913-190529	readsPerc	82.25317311676902
32152341_EXO_S35	180913-190529	readsPerc	25.70405780007154
32151226_EXO_S21	180913-190529	readsPerc	75.98037329021865
32150013_EXO_S3	180913-190529	readsPerc	31.113747513025046
32150698_EXO_S12	180913-190529	readsPerc	73.32559850275115
32151984_EXO_S30	180913-190529	readsPerc	43.204382109507335
32152084_EXO_S31	180913-190529	readsPerc	34.22204366989863
32150243_EXO_S8	180913-190529	readsPerc	26.409070465085065
32151180_EXO_S20	180913-190529	readsPerc	78.37620535557343
32141643_EXO_S1	180913-190529	readsPerc	30.55177207437773
32141786_EXO_S2	180913-190529	readsPerc	24.83695891425621
32150076_EXO_S4	180913-190529	readsPerc	23.947258302475166
32150849_EXO_S15	180913-190529	readsPerc	84.90620383522447
32151444_EXO_S22	180913-190529	readsPerc	41.35342789412811
32150163_EXO_S7	180913-190529	readsPerc	26.725179736265275
32151565_EXO_S23	180913-190529	readsPerc	23.657246735193652
32151026_EXO_S17	180913-190529	readsPerc	69.71312622736612
32150825_EXO_S13	180913-190529	readsPerc	73.27725048208082
32152273_EXO_S34	180913-190529	readsPerc	29.866112897883074
32151691_EXO_S25	180913-190529	readsPerc	27.709792232402584
32150844_EXO_S14	180913-190529	readsPerc	79.94604826219631
32150424_EXO_S10	180913-190529	readsPerc	79.58355247002653
32152094_EXO_S32	180913-190529	readsPerc	26.695459702453586
32151125_EXO_S18	180913-190529	readsPerc	78.20162289198424
32150080_EXO_S5	180913-190529	readsPerc	25.148906701646123
32151765_EXO_S27	180913-190529	readsPerc	23.116445418856056
32151881_EXO_S29	180913-190529	readsPerc	26.506083657561085
32150696_EXO_S11	180913-190529	readsPerc	80.18704968835493
32151725_EXO_S26	180913-190529	readsPerc	29.948974602300716
32150993_EXO_S16	180913-190529	readsPerc	78.49133533061189
32150147_EXO_S6	180913-190529	readsPerc	27.10086410301358
32151667_EXO_S24	180913-190529	readsPerc	27.98550877558208
32151152_EXO_S19	180913-190529	readsPerc	74.15085201761076
32160466_EXO_S13	180919-190527	readsPerc	46.50392428297145
32160120_EXO_S8	180919-190527	readsPerc	43.65989743642174
32160246_EXO_S10	180919-190527	readsPerc	46.38532752342746
32170365_EXO_S26	180919-190527	readsPerc	52.26537013362977
32170367_EXO_S27	180919-190527	readsPerc	48.82847239474495
32152451_EXO_S5	180919-190527	readsPerc	52.3371248144718
32161246_EXO_S18	180919-190527	readsPerc	39.477823654227436
32170368_EXO_S28	180919-190527	readsPerc	41.66631706552235
32170400_EXO_S30	180919-190527	readsPerc	46.888000163303225
32160472_EXO_S14	180919-190527	readsPerc	46.94927799117954
32160241_EXO_S9	180919-190527	readsPerc	46.957432120928374
32152359_EXO_S1	180919-190527	readsPerc	43.93595489364169
32161415_EXO_S22	180919-190527	readsPerc	48.69467865404764
32161252_EXO_S19	180919-190527	readsPerc	33.86238444963045
32170381_EXO_S29	180919-190527	readsPerc	49.8250760570903
32152366_EXO_S2	180919-190527	readsPerc	49.06372858605471
32150043_EXO_S34	180919-190527	readsPerc	53.501101034755436
32170453_EXO_S31	180919-190527	readsPerc	45.611836118558934
32170276_EXO_S24	180919-190527	readsPerc	49.05706130276625
32152381_EXO_S3	180919-190527	readsPerc	45.29011385864634
32161367_EXO_S21	180919-190527	readsPerc	43.89656670938697
32160457_EXO_S12	180919-190527	readsPerc	45.66413563429848
32152446_EXO_S4	180919-190527	readsPerc	47.71290937369257
32160782_EXO_S17	180919-190527	readsPerc	47.80207708754399
32160083_EXO_S7	180919-190527	readsPerc	44.45186543166701
32170613_EXO_S32	180919-190527	readsPerc	39.06024100437548
32160323_EXO_S11	180919-190527	readsPerc	51.05989131503058
32170644_EXO_S33	180919-190527	readsPerc	47.34498941764579
32160600_EXO_S15	180919-190527	readsPerc	47.29027984751075
32161358_EXO_S20	180919-190527	readsPerc	37.18405560900855
32160028_EXO_S6	180919-190527	readsPerc	48.814873429714154
32160766_EXO_S16	180919-190527	readsPerc	38.51891318146519
32170346_EXO_S25	180919-190527	readsPerc	45.91494995095763
32170068_EXO_S23	180919-190527	readsPerc	36.90888800833201
32160009_EXO_S30	181003-190524	readsPerc	70.20036344472926
32152260_EXO_S26	181003-190524	readsPerc	68.29883849344392
32152408_EXO_S29	181003-190524	readsPerc	82.51656248862317
32160078_EXO_S32	181003-190524	readsPerc	72.81520048763716
32150179_EXO_S2	181003-190524	readsPerc	72.36359344048302
32160080_EXO_S33	181003-190524	readsPerc	74.56263959953058
32150313_EXO_S5	181003-190524	readsPerc	73.07777700177537
32151181_EXO_S16	181003-190524	readsPerc	65.27119469078757
32151178_EXO_S15	181003-190524	readsPerc	64.01639696540221
32152087_EXO_S24	181003-190524	readsPerc	63.07337714974298
32151988_EXO_S22	181003-190524	readsPerc	65.55014128070917
32160019_EXO_S31	181003-190524	readsPerc	67.24847944071746
32152030_EXO_S23	181003-190524	readsPerc	78.93656876201186
32151021_EXO_S13	181003-190524	readsPerc	63.104757173979856
32150156_EXO_S1	181003-190524	readsPerc	62.42197950798659
32151970_EXO_S21	181003-190524	readsPerc	68.33698336320148
32151029_EXO_S14	181003-190524	readsPerc	65.60635743183872
