sample	batch		value
32160964_EXO_S30	180726-190530	shortReadsPerc	11.293588825623225
32160619_EXO_S27	180726-190530	shortReadsPerc	8.35143656389374
32151247_EXO_S13	180726-190530	shortReadsPerc	11.836749659851474
32150880_EXO_S12	180726-190530	shortReadsPerc	11.519215047394875
32151523_EXO_S6	180726-190530	shortReadsPerc	11.463142338134277
32141765_EXO_S9	180726-190530	shortReadsPerc	14.173761833128376
32150158_EXO_S10	180726-190530	shortReadsPerc	8.186147929168218
32140235_EXO_S8	180726-190530	shortReadsPerc	11.188665375911853
32160071_EXO_S25	180726-190530	shortReadsPerc	11.925317747540275
32151648_EXO_S4	180726-190530	shortReadsPerc	15.84150954292033
32152253_EXO_S33	180913-190529	shortReadsPerc	14.180656083213407
32151859_EXO_S28	180913-190529	shortReadsPerc	12.260745413504337
32150292_EXO_S9	180913-190529	shortReadsPerc	11.964267668315765
32152341_EXO_S35	180913-190529	shortReadsPerc	12.17713157377758
32151226_EXO_S21	180913-190529	shortReadsPerc	14.992506343562182
32150013_EXO_S3	180913-190529	shortReadsPerc	14.567990372395712
32150698_EXO_S12	180913-190529	shortReadsPerc	10.985714485969144
32151984_EXO_S30	180913-190529	shortReadsPerc	19.16852095220603
32152084_EXO_S31	180913-190529	shortReadsPerc	12.464184504877236
32150243_EXO_S8	180913-190529	shortReadsPerc	13.157452145502425
32151180_EXO_S20	180913-190529	shortReadsPerc	13.38578901998637
32141643_EXO_S1	180913-190529	shortReadsPerc	14.336491632100739
32141786_EXO_S2	180913-190529	shortReadsPerc	12.77767736525374
32150076_EXO_S4	180913-190529	shortReadsPerc	11.452151658148935
32150849_EXO_S15	180913-190529	shortReadsPerc	9.71916290084618
32151444_EXO_S22	180913-190529	shortReadsPerc	14.471198789625378
32150163_EXO_S7	180913-190529	shortReadsPerc	13.371284435602142
32151565_EXO_S23	180913-190529	shortReadsPerc	11.90910719634484
32151026_EXO_S17	180913-190529	shortReadsPerc	13.20764512568453
32150825_EXO_S13	180913-190529	shortReadsPerc	14.31039029746001
32152273_EXO_S34	180913-190529	shortReadsPerc	13.224471369453186
32151691_EXO_S25	180913-190529	shortReadsPerc	14.485909191362033
32150844_EXO_S14	180913-190529	shortReadsPerc	11.911645407748557
32150424_EXO_S10	180913-190529	shortReadsPerc	12.62011584939349
32152094_EXO_S32	180913-190529	shortReadsPerc	13.36775931157541
32151125_EXO_S18	180913-190529	shortReadsPerc	12.383279226847442
32150080_EXO_S5	180913-190529	shortReadsPerc	12.677430050867768
32151765_EXO_S27	180913-190529	shortReadsPerc	11.66347028875933
32151881_EXO_S29	180913-190529	shortReadsPerc	12.147525729059806
32150696_EXO_S11	180913-190529	shortReadsPerc	9.316258250506147
32151725_EXO_S26	180913-190529	shortReadsPerc	12.911766208454807
32150993_EXO_S16	180913-190529	shortReadsPerc	13.343443271869212
32150147_EXO_S6	180913-190529	shortReadsPerc	12.661662633325822
32151667_EXO_S24	180913-190529	shortReadsPerc	13.466980999294757
32151152_EXO_S19	180913-190529	shortReadsPerc	12.938422937685303
32160466_EXO_S13	180919-190527	shortReadsPerc	16.752954721097325
32160120_EXO_S8	180919-190527	shortReadsPerc	17.90711612861258
32160246_EXO_S10	180919-190527	shortReadsPerc	17.48625621695082
