Read Length (nt)	UR	Percentage_UR	RC	32160074_EXO_S17	RPM
15	6082	4.727555382821609	362211	8.048664722187286	80486.64722187286
16	6408	4.980956082394092	342771	7.616689872722966	76166.89872722965
17	9910	7.703070345899728	481168	10.691999710239093	106919.99710239092
18	6101	4.74232413525068	304271	6.761184126613073	67611.84126613072
19	4507	3.5033035367275556	235769	5.239006084534633	52390.060845346336
20	6702	5.209483093664982	337883	7.508073974359715	75080.73974359715
21	8217	6.387096774193548	349220	7.75999264042849	77599.9264042849
22	9620	7.477652545666537	515648	11.458177323898031	114581.7732389803
23	8643	6.718227749708512	346847	7.707262377168263	77072.62377168263
24	7627	5.928488146132919	276423	6.14237571056974	61423.7571056974
25	6419	4.989506412747765	177572	3.945814710343531	39458.14710343531
26	5945	4.621064904780412	154110	3.424467286571315	34244.67286571315
27	5193	4.0365332296929655	122152	2.7143308545146927	27143.308545146927
28	4940	3.839875631558492	105250	2.3387527215082144	23387.527215082144
29	4633	3.6012436844150795	90360	2.0078830965841545	20078.830965841542
30	4069	3.162844928099495	71569	1.5903296296971154	15903.296296971153
31	3566	2.7718616401088223	57268	1.2725481316421132	12725.481316421132
32	3244	2.5215701515740383	46588	1.0352286155783819	10352.286155783819
33	2926	2.274387874076953	44254	0.983364968528499	9833.64968528499
34	2449	1.9036144578313252	25510	0.5668558852795682	5668.558852795682
35	2030	1.5779246016323358	17298	0.3843776206807515	3843.7762068075144
36	1706	1.3260785075787018	10508	0.23349751636682486	2334.9751636682486
37	1401	1.0890011659541392	8114	0.18030061360871877	1803.0061360871878
38	1224	0.9514185775359503	5022	0.11159350277828269	1115.9350277828269
39	1046	0.8130586863583366	3805	0.0845506328298219	845.506328298219
40	832	0.6467158958414302	2320	0.05155255405129746	515.5255405129745
41	672	0.5223474543334629	1905	0.04233086873608692	423.3086873608692
42	577	0.44850369218810726	1237	0.027487288517868514	274.8728851786851
43	441	0.342790516906335	831	0.01846559155889146	184.65591558891458
44	336	0.26117372716673143	659	0.014643591861984924	146.43591861984925
45	291	0.22619510299261564	512	0.01137711537683806	113.77115376838059
46	224	0.17411581811115429	314	0.006977371539701466	69.77371539701466
47	177	0.13758258841818888	235	0.005221918190540907	52.21918190540906
48	107	0.08317139525845317	125	0.0027776160587983543	27.776160587983544
49	83	0.06451612903225806	107	0.0023776393463313915	23.776393463313912
50	62	0.04819277108433735	72	0.0015999068498678522	15.99906849867852
51	43	0.03342401865526622	53	0.0011777092089305023	11.777092089305022
52	36	0.027982899339292655	54	0.0011999301374008892	11.99930137400889
53	31	0.024096385542168676	71	0.0015776859213974654	15.776859213974653
54	33	0.02565099106101827	55	0.001222151065871276	12.22151065871276
55	22	0.017100660707345512	27	5.999650687004446E-4	5.999650687004445
56	33	0.02565099106101827	35	7.777324964635393E-4	7.777324964635392
57	24	0.018655266226195105	31	6.888487825819919E-4	6.888487825819919
58	18	0.013991449669646328	28	6.221859971708314E-4	6.221859971708313
