Read Length (nt)	UR	Percentage_UR	RC	32150168_EXO_S6	RPM
15	10636	5.392825453162631	496737	5.2355075671532685	52355.075671532686
16	10418	5.28229179870706	467012	4.922212075910154	49222.12075910154
17	14783	7.495500063379389	556108	5.861265905608943	58612.65905608943
18	9478	4.805678793256433	417285	4.398099547969149	43980.9954796915
19	6912	3.5046266953986565	322071	3.394563234992803	33945.63234992803
20	10253	5.19863100519711	491009	5.175135605039204	51751.35605039204
21	14005	7.101026746102168	996514	10.503056119786068	105030.56119786068
22	17401	8.822917987070605	2663090	28.068430269962168	280684.30269962165
23	15768	7.994929648878185	1250421	13.179184573783223	131791.84573783222
24	11915	6.041323361642794	728274	7.6758607431316355	76758.60743131636
25	8894	4.509570287742426	202441	2.1336872175861163	21336.872175861165
26	7739	3.9239447331727724	158399	1.6694934404514068	16694.934404514068
27	6994	3.546203574597541	128494	1.354300785594373	13543.00785594373
28	6622	3.357586512866016	108851	1.1472675363264673	11472.675363264674
29	6328	3.2085181898846495	104372	1.100059781733434	11000.597817334343
30	5880	2.981366459627329	84227	0.8877355539422638	8877.355539422639
31	5094	2.582836861452656	70578	0.7438778530178815	7438.778530178814
32	5006	2.538217771580682	72087	0.7597824079812409	7597.824079812409
33	4507	2.285207250602104	64628	0.681166055779983	6811.66055779983
34	3555	1.8025098238052986	42730	0.4503655623488066	4503.655623488066
35	3037	1.5398656356952718	23019	0.24261560682675354	2426.1560682675354
36	2356	1.1945747242996578	12639	0.13321250509072236	1332.1250509072238
37	1993	1.0105209785777665	9503	0.10015969901710062	1001.5969901710062
38	1662	0.8426923564456839	5405	0.056967607406864025	569.6760740686402
39	1357	0.6880466472303207	3655	0.038522961160423315	385.2296116042331
40	1033	0.5237672708835087	2371	0.024989860714463383	249.89860714463387
41	845	0.4284446697933832	1795	0.018918937149920614	189.18937149920615
42	591	0.29965775129927746	1026	0.010813832599341811	108.1383259934181
43	479	0.2428698187349474	850	0.008958828176842631	89.58828176842631
44	371	0.1881100266193434	614	0.006471435883036912	64.71435883036912
45	282	0.14298390163518823	380	0.004005123184941411	40.051231849414116
46	239	0.12118139181138293	307	0.003235717941518456	32.35717941518456
47	174	0.08822410951958423	209	0.0022028177517177763	22.028177517177763
48	133	0.06743566992014197	156	0.0016442084653970005	16.442084653970007
49	104	0.05273165166687793	132	0.001391253316874385	13.91253316874385
50	98	0.049689440993788817	106	0.0011172185726415517	11.172185726415517
51	57	0.028901001394346558	68	7.167062541474105E-4	7.167062541474105
52	57	0.028901001394346558	63	6.640072648718655E-4	6.640072648718656
53	53	0.026872860945620483	99	0.0010434399876557887	10.434399876557888
54	30	0.015211053365445558	30	3.161939356532693E-4	3.1619393565326934
55	26	0.013182912916719483	29	3.0565413779816034E-4	3.0565413779816035
56	27	0.013689948028901002	30	3.161939356532693E-4	3.1619393565326934
57	23	0.011661807580174927	24	2.5295514852261545E-4	2.5295514852261545
58	10	0.005070351121815185	10	1.0539797855108978E-4	1.0539797855108979
