Read Length (nt)	UR	Percentage_UR	RC	32151974_EXO_S24	RPM
15	3724	2.379415880236919	102740	0.5233930028866087	5233.930028866087
16	3790	2.421585979081075	92585	0.47165992965015247	4716.599296501525
17	5649	3.6093770965248004	157952	0.8046619777296634	8046.619777296634
18	4481	2.8630941351615564	258552	1.3171530823665414	13171.530823665415
19	5120	3.271377364879975	601650	3.0650126551170733	30650.126551170735
20	9794	6.257787092116108	1186459	6.044231446484747	60442.31446484747
21	17007	10.866467743069089	4273327	21.769801935433353	217698.01935433358
22	22981	14.683500629356779	8230300	41.927987460167955	419279.87460167956
23	18575	11.868327061063582	2549046	12.985719684992198	129857.19684992198
24	10877	6.949760077695212	984075	5.013217532758803	50132.17532758804
25	5736	3.6649649540920968	120466	0.61369536194022	6136.9536194022
26	4354	2.781948641931135	62257	0.31715863520256565	3171.586352025657
27	4148	2.650326818266042	59739	0.3043310745517142	3043.310745517142
28	4072	2.601767310506105	55902	0.28478407287684643	2847.840728768464
29	4136	2.6426595275671048	66179	0.3371386562004368	3371.3865620043684
30	4480	2.862455194269978	86385	0.4400749907957922	4400.749907957923
31	4653	2.972991968512993	200372	1.0207640916332057	10207.640916332059
32	5459	3.487978327124958	240532	1.2253529858898362	12253.529858898362
33	4579	2.925710342536212	171928	0.8758605431213632	8758.605431213633
34	3331	2.128312109846718	69079	0.351912256632315	3519.1225663231503
35	2116	1.3519989265793022	20032	0.10204991856944272	1020.4991856944273
36	1749	1.117507619370132	15650	0.07972649888237712	797.2649888237713
37	1190	0.7603396609779629	6282	0.032002675142434066	320.02675142434066
38	1025	0.6549144138675731	4666	0.023770213660394356	237.7021366039436
39	828	0.5290430582266834	4084	0.0208053048840657	208.053048840657
40	611	0.3903928847542314	2074	0.010565671481281161	105.65671481281161
41	469	0.2996632781501383	1341	0.006831516613499535	68.31516613499535
42	352	0.2249071938354983	1338	0.006816233578570006	68.16233578570007
43	279	0.1782645087502955	1336	0.006806044888616987	68.06044888616987
44	247	0.15781840021979568	1926	0.009811708424757723	98.11708424757722
45	192	0.12267665118299906	588	0.0029954748461877155	29.95474846187716
46	135	0.08625702036304621	207	0.001054529410137512	10.545294101375122
47	84	0.053671034892562086	134	6.826422268523026E-4	6.826422268523026
48	56	0.03578068992837473	99	5.043401526744623E-4	5.043401526744624
49	46	0.029391281012593525	74	3.7698152826171934E-4	3.7698152826171936
50	30	0.019168226747343604	40	2.0377379906038882E-4	2.0377379906038886
51	32	0.020446108530499843	45	2.2924552394293742E-4	2.2924552394293745
52	23	0.014695640506296763	28	1.4264165934227218E-4	1.426416593422722
53	26	0.01661246318103112	35	1.7830207417784022E-4	1.7830207417784023
54	27	0.017251404072609243	50	2.5471724882548605E-4	2.5471724882548603
55	12	0.007667290698937441	17	8.660386460066526E-5	0.8660386460066526
56	11	0.0070283498073593215	13	6.622648469462637E-5	0.6622648469462638
57	11	0.0070283498073593215	13	6.622648469462637E-5	0.6622648469462638
58	12	0.007667290698937441	12	6.113213971811664E-5	0.6113213971811665
