Read Length (nt)	UR	Percentage_UR	RC	32160965_EXO_S9	RPM
15	28065	7.392159806563258	529367	10.29446454265439	102944.64542654392
16	25096	6.610142259237895	484497	9.421889138390615	94218.89138390616
17	31965	8.419397406620151	498626	9.696652184676394	96966.52184676394
18	18585	4.895182255655733	351611	6.837689112293084	68376.89112293084
19	11995	3.159414105816009	236909	4.6071086794902385	46071.08679490239
20	15558	4.097887841457729	264435	5.142399755437747	51423.99755437748
21	19362	5.099839592897837	333675	6.488892311515837	64888.92311515837
22	22356	5.888441996633821	588120	11.437019094174552	114370.19094174553
23	20524	5.405903718863507	373140	7.256358064341108	72563.58064341109
24	17139	4.514314160865408	269796	5.246653750139287	52466.53750139288
25	14813	3.90165912042122	147489	2.868180829049702	28681.80829049702
26	13652	3.5958583887119757	132022	2.5673980392625873	25673.980392625876
27	12537	3.3021737927982744	110648	2.1517433325379614	21517.433325379618
28	11855	3.12253890991653	97518	1.8964075835300858	18964.07583530086
29	11612	3.0585341056052933	94882	1.8451459662882914	18451.459662882917
30	11296	2.975301520575042	83727	1.6282175367237175	16282.175367237178
31	10198	2.6860946270205632	79535	1.5466967857838079	15466.967857838079
32	10299	2.7126974469194725	90762	1.7650253809179601	17650.253809179605
33	9955	2.622089822709326	94505	1.8378145437920257	18378.14543792026
34	8433	2.221203764430713	69640	1.3542712536868595	13542.712536868597
35	7422	1.9549121711851951	42978	0.8357821645742942	8357.821645742943
36	6647	1.7507816224559407	34027	0.6617143588340433	6617.143588340433
37	5749	1.5142535801864305	27852	0.5416307144986562	5416.307144986562
38	5418	1.427070081309807	25212	0.49029131028077405	4902.913102807741
39	4611	1.2145109163749574	19821	0.38545391325857614	3854.5391325857618
40	4012	1.0567377567764757	14067	0.2735573481564195	2735.5734815641954
41	3455	0.9100271559478375	10297	0.2002431231937621	2002.4312319376213
42	2998	0.7896559807616835	7668	0.1491176331601212	1491.176331601212
43	2653	0.6987849622951122	6288	0.12228112640986463	1222.8112640986465
44	2190	0.5768334215704093	5199	0.10110362216998826	1011.0362216998827
45	1875	0.49386423079658326	4226	0.0821819402366552	821.8194023665521
46	1626	0.428279060946797	3334	0.06483544456909808	648.3544456909808
47	1394	0.36717159345623307	2635	0.05124217049777247	512.4217049777247
48	1073	0.28262203714385803	2052	0.039904718732990174	399.0471873299018
49	861	0.22678245478179102	1585	0.030823089274751185	308.23089274751186
50	648	0.17067947816329918	1078	0.02096359005563519	209.6359005563519
51	499	0.13143373395599736	840	0.01633526497841703	163.35264978417032
52	364	0.09587550933864336	591	0.011493025716957697	114.93025716957698
53	290	0.07638433436320488	848	0.01649083893059243	164.90838930592432
54	222	0.058473524926315454	294	0.005717342742445961	57.17342742445961
55	139	0.036611801643053374	182	0.0035393074119903565	35.39307411990357
56	84	0.02212511753968693	116	0.0022558223065433044	22.558223065433044
57	81	0.021334934770412397	99	0.0019252276581705786	19.25227658170579
58	53	0.013959895590516753	56	0.0010890176652278022	10.890176652278022
