Read Length (nt)	UR	Percentage_UR	RC	32161237_EXO_S16	RPM
15	16881	5.610971325247543	423977	6.784057496086154	67840.57496086154
16	16505	5.48599500759497	406750	6.508408207362765	65084.08207362766
17	22611	7.515530634155097	479985	7.680241704759722	76802.41704759722
18	13051	4.337941281073733	299780	4.796780854095169	47967.808540951686
19	9533	3.168614989845674	230837	3.693623664076211	36936.23664076211
20	13222	4.39477891489977	310619	4.970215731930707	49702.157319307065
21	17597	5.848958142905101	501409	8.023047205520731	80230.4720552073
22	22258	7.398199144444038	1241392	19.863517839838913	198635.17839838914
23	19989	6.64402024882253	662681	10.603561055349392	106035.61055349391
24	15786	5.24701103846678	465637	7.450659305351632	74506.5930535163
25	12058	4.007884144294465	155055	2.481035610553494	24810.35610553494
26	11062	3.676829856044566	128613	2.0579370738132696	20579.370738132693
27	10369	3.4464878663285217	113639	1.8183380461622554	18183.380461622553
28	9906	3.2925941560276146	106561	1.7050829428021725	17050.829428021723
29	9719	3.2304383810248725	107690	1.7231480758473172	17231.48075847317
30	9390	3.1210841030788714	97695	1.5632180450357847	15632.180450357846
31	7959	2.645442851587299	76716	1.2275329908691872	12275.329908691872
32	8261	2.74582276629761	85637	1.3702779438326371	13702.779438326372
33	7841	2.606221560409098	81456	1.3033777478523454	13033.777478523452
34	6855	2.2784911103946395	76256	1.2201725292210328	12201.725292210327
35	5597	1.860352260376192	41153	0.6584893004489242	6584.893004489241
36	4959	1.6482913809550717	32545	0.520752661606936	5207.52661606936
37	4347	1.4448724809460973	25759	0.4121698512930731	4121.69851293073
38	4004	1.3308648294704792	23766	0.38027985115226426	3802.7985115226425
39	3505	1.1650053015219854	18466	0.29547453216265723	2954.745321626572
40	2983	0.991500945631978	13656	0.21850970492869312	2185.097049286931
41	2625	0.8725075368031988	11738	0.18781978005660516	1878.1978005660515
42	2048	0.6807220706182672	6746	0.1079427701705451	1079.427701705451
43	1764	0.5863250647317496	5309	0.08494932802185354	849.4932802185352
44	1618	0.5377970264943146	4527	0.07243654321999075	724.3654321999076
45	1360	0.45204200001994305	3404	0.054467416196343835	544.6741619634383
46	1165	0.38722715442884825	2665	0.042642674548547685	426.42674548547683
47	977	0.32473899560256203	2069	0.03310607641311263	331.0607641311263
48	742	0.24662879706970423	1362	0.021793366879970712	217.9336687997071
49	559	0.18580255736113835	1005	0.016081008600859446	160.81008600859445
50	478	0.1588794676540682	821	0.013136823941597616	131.36823941597618
51	342	0.1136752676520739	611	0.009776613189179226	97.76613189179226
52	261	0.08675217794500377	397	0.006352398422429055	63.523984224290544
53	237	0.07877496617994595	593	0.00948859512468622	94.8859512468622
54	162	0.05384617941414027	299	0.004784300071300472	47.84300071300472
55	109	0.03622983676630426	135	0.0021601354836975374	21.601354836975375
56	74	0.024596402942261605	95	0.0015200953403797486	15.200953403797486
57	46	0.015289655883027485	55	8.800551970619598E-4	8.800551970619598
58	42	0.013960120588851183	47	7.520471683984019E-4	7.520471683984019
