Read Length (nt)	UR	Percentage_UR	RC	32161104_EXO_S15	RPM
15	25474	7.26247427030294	468768	9.894060056063132	98940.60056063133
16	23956	6.829702191229381	480336	10.138220251999156	101382.20251999158
17	31059	8.854722005234319	518387	10.941344354312578	109413.4435431258
18	17626	5.02505972710841	309899	6.540888706809997	65408.887068099975
19	11638	3.317919272897292	221600	4.677204306658283	46772.04306658284
20	15388	4.387020258750948	263999	5.572099547624008	55720.99547624008
21	18248	5.202387943962003	308055	6.501968288301523	65019.68288301523
22	20572	5.864945461595042	422863	8.925165364288997	89251.65364288997
23	18546	5.28734583563784	289395	6.10812066933833	61081.206693383305
24	16035	4.571475815510232	225459	4.758654358189846	47586.54358189846
25	14196	4.047188692047599	143953	3.038346532294133	30383.46532294133
26	13096	3.7335857361971936	126690	2.673984718459106	26739.847184591064
27	11991	3.4185573123656496	107607	2.271209042538709	22712.09042538709
28	11395	3.2486415290139754	92512	1.9526061589240573	19526.061589240573
29	10812	3.0824319624132603	90000	1.8995865866391943	18995.865866391945
30	10074	2.872032888397261	77612	1.638119046247124	16381.19046247124
31	8881	2.5319162280976846	67137	1.4170282740799511	14170.282740799512
32	9106	2.5960622872489036	78538	1.6576636815718784	16576.636815718786
33	9262	2.640536888260416	117828	2.486938759228033	24869.387592280335
34	8607	2.4538005827313105	126555	2.6711353385791474	26711.353385791474
35	6624	1.8884599814118976	51231	1.0813080046679175	10813.080046679175
36	5868	1.6729292226638006	35272	0.7444690898215296	7444.690898215297
37	5030	1.434020789025037	25540	0.5390604602529447	5390.604602529448
38	4543	1.2951802076621755	23338	0.49258390843317246	4925.839084331725
39	3921	1.1178519908085824	16327	0.34460611333397917	3446.0611333397924
40	3292	0.938528118781396	11832	0.2497323165901661	2497.323165901661
41	2862	0.8159378724035101	8958	0.18907218492348782	1890.7218492348784
42	2345	0.6685444831538194	6554	0.138332116542592	1383.32116542592
43	1968	0.5610641973759986	4908	0.10359078852472407	1035.9078852472408
44	1695	0.4832336456058524	4000	0.08442607051729753	844.2607051729753
45	1451	0.41367080812630785	3155	0.06659106312051842	665.9106312051844
46	1139	0.3247216061032837	2214	0.046729830031324186	467.2983003132419
47	981	0.27967681789931637	1859	0.039237016272914024	392.3701627291403
48	754	0.21496057155564172	1331	0.028092774964630755	280.9277496463076
49	606	0.17276671931395077	1092	0.023048317251222226	230.48317251222227
50	500	0.14254679811382076	941	0.019861233089194245	198.61233089194246
51	361	0.1029187882381786	708	0.014943414481561662	149.43414481561663
52	259	0.07383924142295915	441	0.009307974274532053	93.07974274532053
53	201	0.057303812841755945	463	0.009772317662377189	97.7231766237719
54	136	0.03877272908695925	174	0.0036725340675024427	36.72534067502443
55	93	0.02651370444917066	116	0.0024483560450016283	24.483560450016284
56	80	0.022807487698211323	123	0.0025961016684068992	25.961016684068994
57	51	0.014539773407609717	57	0.0012030715048714899	12.0307150487149
58	40	0.011403743849105662	46	9.708998109489216E-4	9.708998109489217
