Read Length (nt)	UR	Percentage_UR	RC	32161004_EXO_S10	RPM
15	13300	4.953279033477463	382610	6.33857475255603	63385.7475255603
16	13291	4.9499271905224775	353625	5.858389735952082	58583.89735952082
17	18531	6.901444644313599	399951	6.625857428868919	66258.57428868918
18	11222	4.179375737870984	295720	4.8990965364885115	48990.96536488511
19	8386	3.1231727800557896	215645	3.5725201968452085	35725.201968452086
20	11865	4.418846295654895	293196	4.857282253862727	48572.82253862727
21	15388	5.730906599033925	500943	8.298958867435967	82989.58867435968
22	20157	7.507010938180843	1296533	21.47923823124259	214792.3823124259
23	18362	6.838504482158885	628635	10.414390474825698	104143.90474825697
24	14391	5.359596885020614	451404	7.478262454203503	74782.62454203503
25	11482	4.276206756570543	156208	2.5878468543615494	25878.468543615494
26	10179	3.7909343820877512	135479	2.2444362899598507	22444.362899598505
27	9583	3.5689678930687614	114410	1.8953930567416832	18953.93056741683
28	9206	3.4285629159544	105250	1.7436423321568235	17436.423321568232
29	8776	3.2684193081051287	100345	1.662382801142769	16623.82801142769
30	8417	3.134718016900737	95167	1.5766005684025504	15766.005684025502
31	7600	2.8304451619871216	86026	1.425164610604493	14251.64610604493
32	7446	2.7730914047573823	85424	1.4151914734647457	14151.914734647456
33	7121	2.6520526313829333	78266	1.296607228205092	12966.07228205092
34	6224	2.317985616869453	63661	1.0546509691917865	10546.509691917865
35	5242	1.9522623077811172	41069	0.6803766930104378	6803.766930104378
36	4335	1.6144710233176542	30988	0.5133680626021438	5133.680626021439
37	4032	1.5016256438331677	26253	0.43492486599632385	4349.248659963238
38	3524	1.3124327303740284	22689	0.3758812434613413	3758.8124346134123
39	3095	1.1526615495197554	17222	0.2853112422271241	2853.112422271241
40	2710	1.0092771564454077	13820	0.2289514207164589	2289.514207164589
41	2469	0.9195222506508162	11073	0.18344277001399056	1834.4277001399055
42	1982	0.7381503040866414	7444	0.12332231373468308	1233.2231373468308
43	1723	0.6416917123820803	6380	0.10569537367373429	1056.9537367373428
44	1570	0.5847103821473396	5264	0.08720696661732559	872.0696661732559
45	1294	0.4819205315278073	3815	0.0632018574553756	632.0185745537559
46	1098	0.4089248405081394	2792	0.04625415098700096	462.5415098700096
47	969	0.360881758153358	2135	0.035369846832824875	353.69846832824874
48	846	0.31507323776856644	1980	0.03280201251943478	328.02012519434777
49	647	0.24096026576390364	1380	0.022862008725666665	228.62008725666664
50	529	0.19701388035410358	904	0.014976272382610626	149.76272382610625
51	424	0.1579090458792815	626	0.010370737291498067	103.70737291498065
52	294	0.1094935365295018	470	0.007786336305118356	77.86336305118355
53	280	0.10427955859952553	717	0.011878304533552897	118.78304533552897
54	171	0.06368501614471023	255	0.0042245016123514485	42.24501612351448
55	135	0.050277644324771234	178	0.0029488677921512075	29.48867792151207
56	110	0.0409669694498136	137	0.0022696341995770528	22.696341995770528
57	56	0.020855911719905106	69	0.0011431004362833332	11.431004362833331
58	47	0.017504068764920357	57	9.443003604079709E-4	9.443003604079708
