Read Length (nt)	UR	Percentage_UR	RC	32151029_EXO_S14	RPM
15	14811	5.484154049520678	393908	4.827125862146507	48271.258621465066
16	14662	5.428982963613002	364613	4.468131751512598	44681.31751512597
17	20424	7.562511802539351	433313	5.310012461550132	53100.124615501314
18	11695	4.3303748301360026	288742	3.5383743810430524	35383.74381043052
19	8418	3.116981215911489	223238	2.7356588929746586	27356.588929746584
20	12620	4.672879893656806	338026	4.142322691283079	41423.22691283079
21	17626	6.526480269856963	764480	9.368281880778662	93682.81880778662
22	23720	8.782940655906453	2435736	29.8486048492574	298486.04849257396
23	21541	7.976109808974743	1123519	13.768107328393892	137681.0732839389
24	16194	5.996245403952323	735906	9.018123228542672	90181.23228542673
25	11916	4.412205769636649	167775	2.055990336630965	20559.90336630965
26	9949	3.683873380506463	132695	1.6261042331649287	16261.042331649285
27	9390	3.4768892394165936	111597	1.3675598485889184	13675.598485889184
28	8609	3.187703883081731	96379	1.1810716295881734	11810.716295881732
29	8508	3.150306032902703	91773	1.1246276332208824	11246.276332208823
30	7729	2.861861228056534	78461	0.9614963957824595	9614.963957824595
31	6835	2.530834712610481	72635	0.890101970503294	8901.019705032939
32	6821	2.5256508521896257	75531	0.9255908574941046	9255.908574941046
33	6061	2.244241286486046	61843	0.7578519468828417	7578.519468828416
34	5148	1.906179531897404	46694	0.5722092849271123	5722.092849271124
35	4370	1.618105002795582	30387	0.37237596995502986	3723.759699550298
36	3718	1.3766852174814583	22606	0.2770240950670815	2770.2409506708145
37	3170	1.1737741095794039	17008	0.2084236843714466	2084.236843714466
38	2925	1.0830565522144342	14409	0.17657436900918239	1765.7436900918237
39	2517	0.9319840485209335	11413	0.13986003702559502	1398.60037025595
40	2094	0.7753574086622308	7617	0.09334214509979473	933.4214509979472
41	1715	0.6350229015547878	5662	0.06938469549101191	693.846954910119
42	1377	0.5098696999655643	3624	0.04441012653822451	444.10126538224506
43	1159	0.4291495876979587	3044	0.037302545580120146	373.0254558012014
44	960	0.3554647145729425	2212	0.02710684324021871	271.0684324021871
45	824	0.3051072133417756	1649	0.020207587930886374	202.0758793088637
46	604	0.2236465495854763	1009	0.01236473997711604	123.6473997711604
47	474	0.17551070282039036	718	0.008798695048136093	87.98695048136092
48	374	0.13848312838570884	581	0.00711983540803213	71.1983540803213
49	262	0.09701224501886554	368	0.004509637573417941	45.09637573417941
50	208	0.07701735482413753	264	0.0032351747809302622	32.35174780930262
51	167	0.061836049305918114	196	0.0024018721858421643	24.018721858421642
52	129	0.047765571020739146	155	0.0018994397388037525	18.994397388037523
53	103	0.03813840166772195	230	0.0028185234833862133	28.185234833862133
54	74	0.027400405081664317	91	0.0011151549434267193	11.15154943426719
55	54	0.019994890194728013	62	7.59775895521501E-4	7.597758955215009
56	42	0.015551581262566233	47	5.759591466050089E-4	5.759591466050088
57	45	0.016662408495606677	56	6.862491959549041E-4	6.862491959549041
58	27	0.009997445097364006	29	3.553790479052182E-4	3.5537904790521817
