Read Length (nt)	UR	Percentage_UR	RC	32151018_EXO_S12	RPM
15	16659	7.252755864374902	437246	10.474586348871956	104745.86348871957
16	15677	6.825226825488045	407577	9.763841133627718	97638.41133627719
17	20580	8.959824460581997	478121	11.453780479887772	114537.80479887773
18	12020	5.233094752973547	281212	6.736663974831058	67366.63974831058
19	8033	3.4972920258433033	193227	4.628911176851204	46289.11176851204
20	10753	4.681486512373091	242306	5.804638852842035	58046.38852842035
21	12855	5.59662504571339	275668	6.603852910308692	66038.52910308693
22	14982	6.522647719554882	391438	9.37721815918211	93772.1815918211
23	13362	5.817355415077582	278960	6.682715468823776	66827.15468823777
24	11693	5.090730195217944	201823	4.834835403156084	48348.35403156084
25	10330	4.497326855092907	164950	3.9515124626558715	39515.12462655872
26	9174	3.9940441983177473	129694	3.1069260826413494	31069.260826413498
27	8560	3.72672970760845	113824	2.7267472237001633	27267.472237001635
28	7944	3.4585444856590564	100477	2.407008897910118	24070.088979101183
29	7088	3.0858715148982117	87476	2.0955592857428615	20955.59285742862
30	6894	3.0014105846089545	77702	1.8614151038089515	18614.151038089516
31	5559	2.420197481845254	55635	1.3327820300688658	13327.82030068866
32	5187	2.258241471187503	49778	1.1924727939744406	11924.727939744407
33	4852	2.1123939884715184	47947	1.1486096880688759	11486.09688068876
34	4375	1.9047245877087577	44696	1.0707293181622723	10707.293181622725
35	3690	1.6064991379760722	27178	0.651071268324106	6510.71268324106
36	3313	1.4423662992180832	23442	0.5615723258537675	5615.723258537675
37	2702	1.1763579053689288	17946	0.42991114067791614	4299.111406779162
38	2350	1.0231092071121328	12551	0.30066949329368803	3006.694932936881
39	2125	0.9251519426013967	9892	0.2369709686607571	2369.709686607571
40	1734	0.7549239851627396	6588	0.15782094030904445	1578.2094030904445
41	1370	0.596450899465371	4418	0.1058368115187247	1058.3681151872472
42	1178	0.5128607004162096	3352	0.08029990769822662	802.9990769822663
43	1014	0.4414607387283841	2830	0.06779496980488703	677.9496980488703
44	807	0.3513400553785069	1749	0.04189872868860333	418.98728688603336
45	642	0.2795047280706337	1230	0.02946565825442087	294.6565825442087
46	506	0.22029500374414432	875	0.020961342254161186	209.61342254161187
47	384	0.16718039809832297	612	0.014660961668053309	146.6096166805331
48	330	0.1436706546157463	479	0.011474837645420809	114.7483764542081
49	227	0.09882799575083155	345	0.008264757803069268	82.64757803069269
50	187	0.08141337094892291	241	0.005773352552288967	57.73352552288967
51	136	0.05920972432648938	166	0.003976666073360865	39.76666073360865
52	120	0.05224387440572593	143	0.003425682219822914	34.25682219822914
53	88	0.03831217456419901	197	0.004719296484651147	47.19296484651147
54	63	0.02742803406300611	78	0.0018685539380852256	18.68553938085226
55	48	0.02089754976229037	58	0.0013894375437043987	13.894375437043987
56	40	0.017414624801908644	149	0.003569417138137162	35.694171381371625
57	40	0.017414624801908644	52	0.0012457026253901505	12.457026253901505
58	21	0.009142678021002038	23	5.509838535379512E-4	5.5098385353795125
