Read Length (nt)	UR	Percentage_UR	RC	32160080_EXO_S33	RPM
15	21698	5.745668505273527	395072	7.266890740412717	72668.90740412718
16	20372	5.39454137659841	404326	7.437107326026933	74371.07326026933
17	27093	7.174273979785034	428610	7.88378331101241	78837.8331101241
18	16127	4.270457921676937	281003	5.168723925583678	51687.23925583678
19	11016	2.9170561459163595	210122	3.864950227191502	38649.50227191502
20	15342	4.062588543087218	254413	4.679631747986749	46796.31747986749
21	19245	5.096109797400176	376742	6.929731672516827	69297.31672516828
22	23683	6.271299991261542	861387	15.844213748916372	158442.13748916372
23	22213	5.882041409698629	484435	8.910619370220706	89106.19370220706
24	19135	5.066981604221999	361111	6.6422175759385045	66422.17575938505
25	16687	4.418746905129475	182460	3.3561398542435414	33561.39854243542
26	15601	4.131172197934017	154642	2.8444600424198714	28444.600424198714
27	14597	3.8653112347441088	136463	2.510078444204957	25100.784442049568
28	13981	3.702193352946317	125518	2.308757876931606	23087.57876931606
29	13391	3.545960316808821	116887	2.1500006529812827	21500.00652981283
30	12666	3.353979043589017	101666	1.8700280303711712	18700.280303711712
31	11819	3.129691956117053	90338	1.6616626227811742	16616.626227811743
32	11793	3.1228071104567565	113096	2.0802696095337474	20802.696095337476
33	10656	2.821727513696871	95967	1.7652015422130327	17652.015422130327
34	9344	2.4743076096080667	71877	1.3220939619832457	13220.939619832458
35	7788	2.0622760770149426	41404	0.7615785077556703	7615.785077556702
36	6782	1.7958855103127045	31904	0.5868370377605281	5868.370377605281
37	6130	1.6232347652929635	28422	0.5227896905475717	5227.896905475717
38	5611	1.4858026538432003	25025	0.46030581964509826	4603.058196450983
39	4752	1.2583379452972532	18891	0.34747801154507696	3474.7801154507697
40	4139	1.096014468767957	12736	0.23426393282717167	2342.6393282717167
41	3379	0.8947651340823692	9309	0.17122824675629247	1712.282467562925
42	2836	0.7509777804846401	6037	0.11104360572217614	1110.4360572217615
43	2195	0.5812398547827169	4206	0.07736448661048084	773.6448661048084
44	1737	0.45996065045903384	3250	0.05977997657728548	597.7997657728548
45	1358	0.35960078487240527	2351	0.04324391536406098	432.4391536406098
46	1067	0.2825434738283184	1807	0.03323766697697073	332.3766697697073
47	806	0.213430215469189	1248	0.022955511005677626	229.55511005677627
48	627	0.1660307011156098	965	0.017750054583717076	177.50054583717076
49	484	0.12816404998397948	709	0.013041231813321664	130.41231813321664
50	374	0.09903585680580233	501	0.009215313312375394	92.15313312375393
51	292	0.07732211280025209	419	0.007707018518733113	77.07018518733113
52	203	0.05375475650154512	268	0.004929548837757695	49.29548837757695
53	176	0.04660510908508345	450	0.008277227526085682	82.77227526085683
54	158	0.04183867747410901	235	0.004322552152511412	43.22552152511412
55	101	0.026744977372689934	120	0.002207260673622849	22.072606736228487
56	75	0.019860131712393515	82	0.00150829479364228	15.0829479364228
57	70	0.018536122931567284	83	0.0015266886325891371	15.26688632589137
58	42	0.01112167375894037	46	8.461165915554254E-4	8.461165915554254
