Read Length (nt)	UR	Percentage_UR	RC	181003-190524_Brain_S35	RPM
15	1551	0.5689843024898107	41197	0.14227282960548499	1422.7282960548496
16	1461	0.5359678052466883	31011	0.10709572830292727	1070.9572830292725
17	2789	1.0231445645674289	70433	0.24323863892038555	2432.3863892038553
18	3145	1.1537431536624467	185339	0.6400636931390873	6400.636931390873
19	4506	1.6530259619723322	478847	1.6536863761462646	16536.863761462646
20	11017	4.041586112527559	1211965	4.185491417647198	41854.914176471975
21	24547	9.005066198076973	5631268	19.447445994291336	194474.45994291335
22	41698	15.296910022708014	12621861	43.5892875538781	435892.875538781
23	33299	12.21573712998595	3926681	13.5606965756753	135606.965756753
24	19298	7.0794707088641955	1617841	5.58717423408907	55871.7423408907
25	8800	3.2282797304386426	202728	0.7001161783688317	7001.161783688316
26	5748	2.1086536239274225	78986	0.2727762147539587	2727.7621475395867
27	6233	2.2865758590709158	92785	0.3204307229882012	3204.3072298820116
28	6388	2.34343760432296	95160	0.32863272726795517	3286.3272726795517
29	6864	2.518058189742141	106229	0.3668592474248383	3668.592474248383
30	7981	2.927829605526228	163375	0.564211557559922	5642.11557559922
31	10493	3.849356728578713	484658	1.673754522196644	16737.545221966437
32	15725	5.768715768312234	681609	2.3539199726816276	23539.199726816274
33	13682	5.019241280893353	557048	1.9237516126435468	19237.516126435465
34	9112	3.342736920881467	264936	0.9149499814151216	9149.499814151217
35	5711	2.0950801750608052	81936	0.2829639674382848	2829.6396743828473
36	5246	1.9244949393046726	86110	0.29737877411773456	2973.7877411773457
37	3841	1.409070732342594	37236	0.12859361320459836	1285.9361320459834
38	3714	1.3624807862328543	37419	0.12922559921857518	1292.255992185752
39	3547	1.3012168413483938	38725	0.13373583820356835	1337.3583820356835
40	2935	1.0767046600951609	26768	0.0924426318149288	924.426318149288
41	2395	0.878605676636426	17339	0.059879811455433744	598.7981145543374
42	2003	0.7348004886441591	16221	0.056018825861848476	560.1882586184847
43	1898	0.6962812418605163	19434	0.06711484259904835	671.1484259904835
44	1879	0.6893110924425238	30469	0.10522394458940024	1052.2394458940023
45	1346	0.4937800587693651	10404	0.03592995895855197	359.29958958551975
46	918	0.3367682718798493	3268	0.011285957888941546	112.85957888941546
47	712	0.26119717819003563	2192	0.007570018265777194	75.70018265777193
48	515	0.18892773422453418	1371	0.004734714891596959	47.34714891596958
49	346	0.12693008940133754	813	0.002807675570290538	28.076755702905377
50	231	0.08474234292401436	477	0.0016473078069232307	16.473078069232304
51	209	0.07667164359791775	454	0.0015678778707403495	15.678778707403495
52	172	0.06309819473130074	331	0.001143100385936246	11.431003859362459
53	166	0.06089709491509258	394	0.001360669341567616	13.60669341567616
54	124	0.04548939620163542	384	0.001326134586705494	13.261345867054938
55	106	0.03888609675301092	204	7.045089991872936E-4	7.045089991872936
56	93	0.034117047151226564	195	6.734277198113836E-4	6.734277198113836
57	75	0.02751374770260207	132	4.558587641800135E-4	4.558587641800135
58	72	0.026413197794497984	104	3.5916145056607125E-4	3.5916145056607123
