Read Length (nt)	UR	Percentage_UR	RC	180322-190603_Brain_S36	RPM
15	495	0.2526580133423848	4164	0.06507028810010698	650.7028810010698
16	609	0.31084591944547946	4135	0.06461710886021671	646.1710886021671
17	1266	0.6461920098817356	13652	0.21333803389593192	2133.380338959319
18	1524	0.7778804289571605	39666	0.6198554389478491	6198.5543894784905
19	2667	1.3612907506750307	103144	1.6118179144566365	16118.179144566366
20	6889	3.516284957405432	244510	3.8209260670886547	38209.26067088655
21	16904	8.628143550585197	1120972	17.51728409994071	175172.8409994071
22	31179	15.914392319196395	2586207	40.41432146410023	404143.21464100236
23	21932	11.194536461869056	798012	12.47043005459716	124704.3005459716
24	12344	6.30062730646141	393019	6.141656954566749	61416.569545667495
25	4622	2.359162298320207	49017	0.765982303506951	7659.82303506951
26	3111	1.5879173323397153	21476	0.33560266744425976	3356.0266744425976
27	3196	1.631303051802549	23209	0.3626840337452889	3626.840337452889
28	3533	1.8033146689669606	26325	0.41137736172798184	4113.773617279819
29	4224	2.15601504718835	31230	0.4880271607508024	4880.271607508023
30	5295	2.7026751124200556	47869	0.7480426563554325	7480.426563554325
31	7078	3.6127543806816154	133008	2.078498770321573	20784.987703215727
32	13736	7.011132265193934	188548	2.9464151490631534	29464.151490631535
33	11466	5.852478345421786	172104	2.689446893175027	26894.46893175027
34	7072	3.6096918593077683	100225	1.5662030799311293	15662.030799311293
35	4188	2.1376399189452675	35864	0.5604420779112	5604.420779112
36	3898	1.9896180525426583	37564	0.5870077574909747	5870.077574909747
37	2881	1.470520679675577	20587	0.3217103797110717	3217.1037971107166
38	2844	1.4516351312035198	19016	0.29716056640529165	2971.6056640529164
39	2826	1.4424475670819785	21159	0.3306489495461488	3306.4894954614883
40	2708	1.382217980062986	20235	0.3162097213510242	3162.097213510242
41	2079	1.061163656038016	14814	0.23149645723222498	2314.9645723222498
42	1989	1.0152258354303099	16879	0.2637659444864807	2637.6594448648075
43	2407	1.2285814911416568	22946	0.35857416684559434	3585.7416684559435
44	3668	1.87222139987852	54616	0.853477150546456	8534.77150546456
45	1786	0.9116105289484833	15078	0.23562195100226058	2356.219510022606
46	913	0.4660136690537319	3925	0.06133546608859748	613.3546608859748
47	938	0.4787741747780948	3767	0.05886642057471254	588.6642057471254
48	752	0.38383601218883506	3710	0.05797568896527303	579.7568896527304
49	487	0.24857465151058866	1648	0.02575308232204042	257.5308232204042
50	388	0.1980430488421117	1206	0.018846005631298995	188.46005631298996
51	337	0.17201161716441146	1020	0.01593940774786482	159.39407747864823
52	272	0.138834302281068	665	0.010391868776794223	103.91868776794223
53	302	0.15414690915030343	911	0.014236078880691033	142.36078880691034
54	259	0.13219883930439932	828	0.012939048642384385	129.39048642384387
55	259	0.13219883930439932	722	0.011282600386233728	112.82600386233727
56	206	0.10514656716875004	626	0.009782420833493509	97.8242083349351
57	210	0.1071882480846481	512	0.0080009576146145	80.009576146145
58	178	0.09085480075746362	444	0.006938330431423511	69.3833043142351
