Read Length (nt)	UR	Percentage_UR	RC	32151201_EXO_S23	RPM
15	5760	2.3402932680001465	159717	4.506266485833293	45062.66485833292
16	6620	2.6897120545418347	171522	4.839333572400546	48393.33572400546
17	10849	4.407958622314859	205890	5.80899470167995	58089.9470167995
18	7624	3.097638172783527	164552	4.642681510276551	46426.81510276551
19	5748	2.335417657025146	115282	3.252574322206363	32525.743222063626
20	8232	3.344669128850209	166765	4.705119245352649	47051.19245352649
21	10940	4.444932005541944	212987	6.009229950588701	60092.29950588701
22	15142	6.152208448621217	462558	13.050643407740417	130506.43407740416
23	14670	5.960434416937873	283511	7.998998964825802	79989.98964825802
24	12281	4.989781531998228	229182	6.466156800817982	64661.56800817982
25	9634	3.914303011096078	118646	3.347486450898632	33474.86450898632
26	8074	3.2804735843460384	92049	2.5970768531494377	25970.768531494377
27	9068	3.684336693441897	100035	2.822394409551478	28223.94409551478
28	8469	3.440962445606465	95420	2.6921864803259066	26921.86480325906
29	8520	3.4616837922502164	94466	2.6652702583364816	26652.702583364815
30	8939	3.6319238754606435	94830	2.6755401795148366	26755.401795148366
31	8089	3.2865680980647887	77694	2.192063890195357	21920.63890195357
32	10783	4.381142761952357	108744	3.0681107379643717	30681.107379643716
33	9725	3.9512763943231635	102804	2.9005191670868213	29005.19167086821
34	8404	3.4145528861585466	73529	2.0745522920968726	20745.522920968724
35	7224	2.9351178069501835	60004	1.6929570065549746	16929.570065549746
36	6440	2.6165778899168304	50715	1.430876518022724	14308.765180227241
37	5919	2.4048951134189003	50619	1.428167967382279	14281.67967382279
38	4820	1.958370408291789	38482	1.0857338098501523	10857.338098501523
39	4923	2.000219402493875	38396	1.08330739990142	10833.0739990142
40	3940	1.6008256034584334	27107	0.7647987730265599	7647.987730265599
41	3608	1.4659336998167583	25979	0.732973303001328	7329.73303001328
42	3319	1.3485127355021675	20520	0.578952699395175	5789.52699395175
43	2760	1.1213905242500701	16865	0.47583027657405585	4758.302765740558
44	2685	1.0909179556563182	16602	0.4684099763820027	4684.099763820027
45	2558	1.0393177395042317	16233	0.4579989848577912	4579.989848577912
46	1932	0.784973366975049	11751	0.331543526832003	3315.43526832003
47	1551	0.6301727185187894	8719	0.24599846910460677	2459.9846910460674
48	1534	0.6232656029708723	7710	0.2175304733107602	2175.304733107602
49	1228	0.49893752310836453	6325	0.17845398750850303	1784.5398750850302
50	972	0.3949244889750247	4928	0.13903893287619018	1390.3893287619017
51	799	0.32463443075210363	4043	0.1140694816595854	1140.694816595854
52	668	0.2714090109416836	3177	0.08963609775723543	896.3609775723543
53	440	0.17877240241667783	1768	0.04988247429486693	498.82474294866927
54	344	0.13976751461667541	1295	0.036537219576839745	365.3721957683975
55	276	0.112139052425007	1009	0.028467995793846568	284.6799579384657
56	259	0.10523193687708991	799	0.022543041267872554	225.43041267872553
57	177	0.0719152618812545	556	0.015687022459245484	156.87022459245483
58	176	0.07150896096667114	546	0.015404881767532434	154.04881767532433
