Read Length (nt)	UR	Percentage_UR	RC	32152118_EXO_S1	RPM
15	8678	1.189149931827369	53468	1.0709340588797414	10709.340588797413
16	10019	1.3729077168677588	82572	1.65387085938913	16538.7085938913
17	17436	2.3892622967667676	140949	2.8231294356445105	28231.2943564451
18	13104	1.7956465437503855	136821	2.7404479103386157	27404.479103386155
19	10284	1.4092207765513556	110393	2.2111098893153156	22111.098893153154
20	15927	2.1824834021911164	163017	3.265139101451313	32651.39101451313
21	21406	2.9332730399512172	218668	4.379797426257113	43797.97426257112
22	26419	3.6202065048337477	320098	6.411383451396863	64113.83451396863
23	27114	3.7154426424945015	264502	5.297826745750904	52978.26745750904
24	26723	3.661863750659459	236605	4.739065478440211	47390.65478440211
25	25101	3.4396004193130665	195607	3.91789852725536	39178.9852725536
26	25007	3.426719560406432	196238	3.930537103434628	39305.37103434628
27	24866	3.4073982720464806	191573	3.83709976924083	38370.9976924083
28	25550	3.5011270751543306	188132	3.7681784687133146	37681.78468713314
29	24833	3.4028762683877685	169642	3.3978341366139952	33978.341366139946
30	24525	3.3606709009064564	156346	3.1315227120822184	31315.227120822183
31	24089	3.300925640445897	156550	3.1356087176932657	31356.08717693265
32	24064	3.2974998800983877	155676	3.1181029877714264	31181.029877714263
33	24083	3.3001034579624946	157114	3.1469053214414546	31469.053214414544
34	23376	3.2032229553349367	148324	2.9708465502595716	29708.465502595714
35	22431	3.0737292141990915	133960	2.683143684587607	26831.436845876065
36	20853	2.8574952210643154	120772	2.418995439496973	24189.954394969725
37	20888	2.862291285550828	119334	2.3901931058269446	23901.93105826944
38	18576	2.5454769686131837	104983	2.1027506228654875	21027.506228654875
39	18849	2.5828862716079835	102766	2.058345356004255	20583.453560042548
40	18411	2.5228669503196235	98871	1.980330690048233	19803.306900482326
41	17614	2.4136537104410323	94885	1.9004933451186554	19004.933451186553
42	16878	2.3127993258103636	83724	1.6769447734279845	16769.447734279842
43	16571	2.2707309887429514	85590	1.7143197071055036	17143.197071055034
44	15811	2.166587874178674	81152	1.625429055625959	16254.29055625959
45	14855	2.0355867984899247	71914	1.440397095651188	14403.97095651188
46	13190	1.8074311593458168	61129	1.2243795931259767	12243.795931259765
47	12862	1.762485183586497	58906	1.1798541496291248	11798.541496291247
48	12591	1.7253499414194982	53945	1.0804881014114545	10804.881014114544
49	11001	1.5074715833179173	49071	0.9828646144102602	9828.6461441026
50	10070	1.3798962679766775	42144	0.8441206885880868	8441.206885880867
51	8532	1.1691434913979157	33639	0.6737703075981077	6737.703075981077
52	8415	1.153110932971573	32132	0.6435859426184606	6435.859426184606
53	7933	1.0870622734715971	53464	1.070853941122662	10708.53941122662
54	6330	0.8674025199893116	24807	0.49687029996689136	4968.7029996689125
55	4768	0.6533610134769412	15101	0.30246456241383585	3024.6456241383585
56	4051	0.5551102067103794	12406	0.24848522358162026	2484.8522358162027
57	3104	0.4253424047467335	8472	0.16968940949407438	1696.8940949407438
58	2577	0.3531273766212411	7189	0.1439916389108712	1439.9163891087119
