Read Length (nt)	UR	Percentage_UR	RC	32150101_EXO_S3	RPM
15	2520	1.0246609876593409	12977	0.43744859296414657	4374.485929641465
16	2791	1.134852704983024	17940	0.6047489988269082	6047.4899882690825
17	4781	1.9440095960314718	34225	1.1537087226784246	11537.087226784246
18	3897	1.5845650273446237	39863	1.3437630624435366	13437.630624435365
19	3345	1.3601154776668631	38782	1.307323058668069	13073.23058668069
20	5808	2.361599609652957	74906	2.5250461820584387	25250.461820584387
21	9611	3.907943155711875	209701	7.0689225085285115	70689.22508528511
22	16685	6.7843129282127395	894274	30.14555775791163	301455.5775791163
23	15041	6.115843617215931	368982	12.43821042838073	124382.10428380729
24	11838	4.813466972980666	229329	7.730573196877149	77305.73196877149
25	7874	3.2016589749324007	62356	2.1019915591332605	21019.915591332603
26	6892	2.8023664789476896	53838	1.8148537680514543	18148.537680514542
27	6990	2.8422144062455525	51150	1.7242425468225395	17242.425468225396
28	7036	2.860918535385366	49011	1.6521378585008697	16521.378585008697
29	6879	2.797080529408177	44792	1.509917344228254	15099.17344228254
30	7157	2.910118527253136	44454	1.4985235225112252	14985.235225112252
31	7333	2.9816821517880743	46061	1.5526947399646724	15526.947399646724
32	10640	4.326346392339439	76197	2.5685651874924154	25685.65187492415
33	9283	3.774574582714945	77343	2.60719631082885	26071.9631082885
34	8026	3.2634639233943927	61992	2.089721289591845	20897.21289591845
35	7428	3.020310244576819	54187	1.826618394617262	18266.18394617262
36	7287	2.9629780226482607	46736	1.5754486738670226	15754.486738670226
37	6712	2.7291764084005936	48504	1.6350471259253267	16350.471259253267
38	5857	2.3815235733018887	31993	1.0784690479079864	10784.690479079865
39	5799	2.3579401061256022	32964	1.1112010031956636	11112.010031956635
40	5094	2.0712789964828104	27074	0.9126518614403408	9126.518614403409
41	4711	1.9155467908187123	24533	0.8269959413723824	8269.959413723824
42	4610	1.8744790290117308	22183	0.7477785418604965	7477.785418604964
43	4626	1.8809848130603615	22347	0.7533069050604749	7533.069050604749
44	4403	1.7903104478825707	23321	0.7861399889432736	7861.399889432736
45	4537	1.844796389289853	21914	0.7387106778312635	7387.1067783126355
46	3800	1.5451237115497998	16974	0.5721855911977671	5721.855911977671
47	3741	1.5211336328704739	15800	0.5326106009735313	5326.106009735313
48	3833	1.5585418911501006	15361	0.5178121165540769	5178.121165540768
49	3121	1.2690345009860329	13527	0.4559888354030986	4559.888354030985
50	2698	1.0970378352003578	10465	0.3527702493156965	3527.702493156965
51	2412	0.9807469453310834	9134	0.3079028626134326	3079.028626134326
52	2335	0.949437859597048	8154	0.27486752154039074	2748.6752154039077
53	2462	1.0010775204830544	14705	0.4956986637541631	4956.986637541631
54	1895	0.7705287982597028	6841	0.23060690640885617	2306.069064088562
55	1404	0.570882550267347	4236	0.1427935763116379	1427.9357631163787
56	1160	0.47166934352572837	3282	0.1106346830629829	1106.346830629829
57	903	0.36717018724459716	2348	0.07914998044847162	791.499804484716
58	680	0.2764958220668063	1764	0.059463613931475263	594.6361393147527
