Read Length (nt)	UR	Percentage_UR	RC	32152359_EXO_S1	RPM
15	36435	9.755490224428486	477891	14.346906260610652	143469.0626061065
16	32416	8.679400881434715	431312	12.948544402544725	129485.44402544724
17	42283	11.3212952699193	489511	14.695753698098061	146957.5369809806
18	23545	6.304186011641793	274128	8.229677310116065	82296.77310116065
19	15028	4.023754826203137	170661	5.1234640730670264	51234.64073067026
20	19665	5.265313991035713	186815	5.608428058021555	56084.28058021555
21	23001	6.158529728340322	227689	6.835518433224686	68355.18433224686
22	24928	6.67448498187329	351870	10.563592756342073	105635.92756342073
23	21844	5.848742375803921	207824	6.239145425850555	62391.45425850555
24	19369	5.186059836886383	149631	4.492116258061843	44921.16258061843
25	16970	4.543726337547726	77084	2.3141614347056367	23141.614347056366
26	15363	4.113451250662682	63333	1.9013386194827993	19013.386194827992
27	13680	3.6628271241987567	50142	1.50532772895815	15053.2772895815
28	12357	3.3085931852137453	39623	1.1895337362791427	11895.337362791428
29	11055	2.959982007165004	33318	1.0002494769540036	10002.494769540035
30	9608	2.572547003603922	25469	0.7646123395324304	7646.123395324304
31	7769	2.080153795899133	18473	0.5545833659814907	5545.833659814906
32	6422	1.7194938444155274	14994	0.4501392837939951	4501.39283793995
33	5231	1.4006029741727848	13007	0.39048697240953006	3904.8697240953006
34	3990	1.068324577891304	9800	0.29420868221829743	2942.086822182974
35	3057	0.8185133420084502	5419	0.16268539274907692	1626.8539274907691
36	2250	0.6024386717432165	3600	0.10807665877406844	1080.7665877406844
37	1656	0.44339486240300735	2417	0.0725614678491454	725.614678491454
38	1208	0.3234426290959136	1721	0.0516666471528255	516.666471528255
39	851	0.22785569317932322	1108	0.03326359386712995	332.6359386712995
40	620	0.166005322880353	746	0.022395885401515294	223.95885401515295
41	517	0.13842701924055242	625	0.01876330881494244	187.6330881494244
42	363	0.09719343904123894	416	0.012488858347225688	124.88858347225687
43	302	0.0808606572739784	334	0.010027112230705239	100.2711223070524
44	230	0.06158261977819547	261	0.007835557761119962	78.35557761119962
45	197	0.05274685259262829	226	0.006784812467483186	67.84812467483185
46	178	0.047659592697907795	186	0.00558396070332687	55.8396070332687
47	146	0.03909157603311538	161	0.004833428350729172	48.33428350729172
48	140	0.03748507290846681	157	0.00471334317431354	47.133431743135404
49	131	0.03507531822149394	159	0.004773385762521357	47.73385762521356
50	96	0.02570404999437724	107	0.0032122784691181456	32.12278469118145
51	89	0.023829796348953897	107	0.0032122784691181456	32.12278469118145
52	109	0.029184806764449157	128	0.0038427256453002112	38.427256453002116
53	89	0.023829796348953897	185	0.005553939409222962	55.539394092229614
54	83	0.022223293224305322	97	0.0029120655280790663	29.120655280790665
55	60	0.016065031246485773	67	0.0020114267049618295	20.114267049618295
56	54	0.014458528121837197	58	0.0017412350580266584	17.412350580266583
57	47	0.012584274476413857	57	0.0017112137639227504	17.112137639227505
58	50	0.013387526038738145	52	0.001561107293403211	15.611072934032109
