Read Length (nt)	UR	Percentage_UR	RC	32161246_EXO_S18	RPM
15	20840	8.705496075425353	307042	13.207050481883869	132070.50481883867
16	20017	8.361704171870889	272604	11.725740418455683	117257.40418455683
17	26164	10.929491330010986	330832	14.230349349673999	142303.49349673997
18	14354	5.996098400511301	172282	7.41050758892893	74105.07588928929
19	10335	4.317240975984695	115854	4.983323540519452	49833.23540519452
20	13727	5.734181604000184	139885	6.01698873984121	60169.8873984121
21	16289	6.804406217495374	178719	7.687387572618088	76873.87572618088
22	17748	7.413874488802744	304351	13.091300282084656	130913.00282084657
23	15208	6.352839938343032	164715	7.085021984365335	70850.21984365335
24	12996	5.428820873139534	107765	4.635384719941294	46353.84719941294
25	10998	4.594196057462958	51404	2.211082597725257	22110.825977252567
26	9764	4.078717067200247	40849	1.7570716876989927	17570.716876989925
27	8623	3.6020869797693296	32296	1.3891744528856684	13891.744528856683
28	7626	3.1856100322069936	25463	1.095260994978566	10952.609949785661
29	6878	2.8731478890007476	21382	0.9197215801214195	9197.215801214194
30	6044	2.524760953928543	16338	0.7027598529615448	7027.598529615448
31	4852	2.0268266294608357	11522	0.4956052776241228	4956.0527762412285
32	3916	1.635831220315052	8947	0.3848446813837031	3848.4468138370307
33	3079	1.2861910948289186	7358	0.316495715393013	3164.95715393013
34	2396	1.00088141059113	4736	0.20371346943480695	2037.1346943480696
35	1801	0.7523319784952525	2942	0.12654666956866598	1265.4666956866597
36	1316	0.5497328615767642	2047	0.08804929728316087	880.4929728316085
37	951	0.3972613612154276	1267	0.05449851473266478	544.9851473266478
38	669	0.279461462306121	922	0.03965874552763767	396.5874552763767
39	515	0.21513102105777626	649	0.027915971634964044	279.15971634964046
40	356	0.1487119291195502	425	0.018280875107642095	182.80875107642095
41	265	0.1106984865637101	301	0.01294716095858887	129.4716095858887
42	213	0.08897651938894435	233	0.010022220941366136	100.22220941366136
43	165	0.06892547276608366	200	0.008602764756537457	86.02764756537455
44	175	0.0731027741458463	225	0.009678110351104639	96.78110351104638
45	141	0.05889994945465331	164	0.007054267100360714	70.54267100360714
46	118	0.04929215628119922	128	0.0055057694441839715	55.057694441839715
47	117	0.04887442614322295	127	0.005462755620401285	54.62755620401284
48	94	0.03926663296976887	101	0.004344396202051415	43.44396202051415
49	91	0.03801344255584008	108	0.004645492968530226	46.45492968530226
50	74	0.03091203021024358	84	0.0036131611977457314	36.13161197745731
51	70	0.02924110965833852	75	0.003226036783701546	32.26036783701546
52	74	0.03091203021024358	87	0.0037422026690937934	37.42202669093793
53	58	0.024228348002623346	105	0.004516451497182165	45.164514971821646
54	46	0.019215586346908172	48	0.0020646635415689893	20.646635415689893
55	61	0.025481538416552138	69	0.002967953841005422	29.67953841005422
56	61	0.025481538416552138	65	0.0027958985458746734	27.95898545874673
57	55	0.02297515758869455	64	0.0027528847220919857	27.528847220919857
58	49	0.020468776760836964	54	0.002322746484265113	23.22746484265113
