Read Length (nt)	UR	Percentage_UR	RC	32160766_EXO_S16	RPM
15	26498	11.60762393716516	347014	18.163897700030358	181638.9770003036
16	22848	10.008717326452924	297957	15.596086806318898	155960.86806318897
17	28447	12.461396261624927	322185	16.86426305706479	168642.6305706479
18	15210	6.662840972310442	171932	8.999507971902055	89995.07971902055
19	9409	4.121674602792173	103045	5.393727165185348	53937.27165185348
20	12190	5.339910023173195	117067	6.127686525758194	61276.86525758194
21	13573	5.945742308821146	105790	5.537409838468222	55374.09838468222
22	13993	6.1297260832044715	100662	5.268992808014824	52689.92808014824
23	12169	5.330710834454028	75722	3.96354804602033	39635.480460203304
24	10615	4.649970869235722	60704	3.177454644431184	31774.54644431184
25	9166	4.015226847613248	43194	2.260921453471939	22609.214534719387
26	8563	3.7510787143914737	36780	1.9251907917464903	19251.907917464905
27	7484	3.278415636868596	29531	1.5457533787674174	15457.533787674172
28	6640	2.908695861679246	22536	1.1796111931157942	11796.11193115794
29	5952	2.6073129169751317	18107	0.9477822095202203	9477.822095202202
30	5140	2.2516109531673685	13923	0.7287773625200213	7287.773625200213
31	4180	1.8310766117197663	11175	0.5849376589931221	5849.37658993122
32	3447	1.5099811197602955	8649	0.4527181935240727	4527.181935240727
33	2824	1.2370718544250288	7559	0.395663871528323	3956.6387152832303
34	2241	0.9816848533167456	5592	0.29270437486259854	2927.0437486259852
35	1652	0.7236695125744149	2855	0.14944044889712424	1494.4044889712425
36	1254	0.5493229835159299	1991	0.10421573861792448	1042.1573861792447
37	981	0.42973353016676813	1523	0.0797190205500246	797.190205500246
38	737	0.32284771838216936	1122	0.05872931126534971	587.293112653497
39	549	0.24049307651534732	747	0.039100530762224806	391.00530762224804
40	393	0.172156246030112	521	0.027270919045674864	272.7091904567486
41	340	0.148939245929359	402	0.021042052699349896	210.42052699349895
42	276	0.12090362316618554	319	0.016697549281324917	166.97549281324916
43	219	0.09593439664273418	261	0.013661631230174932	136.6163123017493
44	166	0.07271739654198116	195	0.010206965861624949	102.06965861624948
45	153	0.06702266066821154	185	0.009683531714874951	96.83531714874951
46	126	0.055195132314997744	141	0.0073804214691749635	73.80421469174964
47	100	0.04380566056745853	112	0.005862462443599971	58.624624435999706
48	105	0.04599594359583145	124	0.006490583419699968	64.90583419699968
49	86	0.03767286808801433	108	0.005653088784899972	56.53088784899972
50	79	0.034606471848292235	94	0.004920280979449975	49.20280979449975
51	68	0.0297878491858718	84	0.004396846832699978	43.968468326999776
52	66	0.028911735974522627	82	0.004292160003349979	42.921600033499786
53	73	0.031978132214244726	148	0.007746825371899961	77.4682537189996
54	63	0.027597566157498872	82	0.004292160003349979	42.921600033499786
55	54	0.023655056706427605	58	0.0030359180511499847	30.359180511499847
56	45	0.019712547255356337	57	0.0029835746364749853	29.83574636474985
57	54	0.023655056706427605	66	0.0034546653685499826	34.54665368549983
58	53	0.02321700010075302	59	0.0030882614658249846	30.882614658249846
