Read Length (nt)	UR	Percentage_UR	RC	180726-190530_Brain_S36	RPM
15	1165	0.5839247764545491	33579	0.17765962608148492	1776.596260814849
16	1011	0.5067364369060507	25906	0.1370633512989353	1370.6335129893528
17	1931	0.9678615822607162	60021	0.3175588438320619	3175.588438320619
18	2562	1.2841332852159268	156125	0.8260254659749199	8260.254659749198
19	3435	1.721700950318778	357995	1.8940783775288481	18940.78377528848
20	7027	3.5220939091382975	816081	4.317717779332448	43177.17779332448
21	13686	6.8597377601347285	3304624	17.484090180764795	174840.90180764793
22	19997	10.022956012670917	6517657	34.48359110001408	344835.91100014077
23	17202	8.62203777216408	2534018	13.406971332194296	134069.71332194295
24	9794	4.908977906090862	956193	5.059021735064573	50590.21735064573
25	5118	2.565259232527367	149912	0.7931537527957225	7931.5375279572245
26	3677	1.842996912466418	66267	0.3506051532666774	3506.051532666774
27	3653	1.8309675608484703	68773	0.363863887087226	3638.6388708722598
28	3714	1.861542162877421	71887	0.38033942464396514	3803.3942464396514
29	4103	2.056517903684991	93019	0.4921445176590621	4921.445176590621
30	5001	2.5066161433898713	141240	0.7472719731900572	7472.719731900571
31	6269	3.14216688720478	400614	2.1195667960036926	21195.667960036928
32	8906	4.4638918962267935	772992	4.089742686916799	40897.42686916799
33	9143	4.582681743454028	694432	3.6740977831090187	36740.97783109018
34	6883	3.4499177994306107	375128	1.9847255788646259	19847.25578864626
35	4933	2.4725329804723524	130050	0.6880679702164184	6880.679702164183
36	4445	2.2279361642407474	124039	0.6562649977522055	6562.6499775220545
37	3788	1.8986326636994266	68267	0.3611867445041464	3611.8674450414633
38	4019	2.014415173022174	77925	0.4122852485898839	4122.852485898839
39	3960	1.9848430169613858	86990	0.46024631087371193	4602.463108737119
40	3515	1.7617987890452704	72181	0.3818949185558731	3818.9491855587307
41	3203	1.6054172180119493	52404	0.2772588536041614	2772.5885360416137
42	3220	1.6139380087413289	82616	0.43710437083736736	4371.043708373673
43	3635	1.8219455471350094	127971	0.6770684061250695	6770.684061250694
44	3981	1.99536869962709	224285	1.1866460953478617	11866.460953478616
45	3127	1.5673242712217812	71217	0.3767945915794131	3767.9459157941305
46	2738	1.3723485304142107	29653	0.15688796248233336	1568.8796248233336
47	2583	1.2946589678816312	26915	0.14240176407823837	1424.0176407823838
48	2279	1.1422871807209591	19939	0.10549317384194669	1054.931738419467
49	1944	0.9743774810537712	14408	0.0762297832747263	762.297832747263
50	1831	0.9177392838526004	11980	0.063383731512439	633.83731512439
51	1844	0.9242551826456554	12550	0.06639948501511765	663.9948501511765
52	1804	0.904206263282409	12202	0.06455828813979805	645.5828813979805
53	1741	0.8726292152852961	13598	0.07194423882355139	719.4423882355138
54	1553	0.7783992942780384	13273	0.07022473024746267	702.2473024746267
55	1433	0.7182525361882994	10201	0.053971406106710376	539.7140610671037
56	1405	0.704218292634027	9458	0.05004034496199066	500.40344961990655
57	1200	0.6014675808973896	7170	0.03793500458632618	379.3500458632618
58	1054	0.5282890252215405	4994	0.026422233319959965	264.22233319959963
