Read Length (nt)	UR	Percentage_UR	RC	32151370_EXO_S14	RPM
15	15193	4.592888625549436	417018	4.878158339588687	48781.583395886875
16	13772	4.163316142372595	423842	4.957983556987824	49579.83556987824
17	17542	5.3029982405968665	470173	5.499950460170621	54999.504601706205
18	11464	3.465600948022032	296669	3.4703498564748676	34703.498564748676
19	7587	2.2935724348083704	225550	2.6384199566786766	26384.199566786767
20	10102	3.0538643385309285	318106	3.721113805095221	37211.13805095221
21	12892	3.8972895518056556	473375	5.537406548405093	55374.06548405092
22	15274	4.617375163999347	988614	11.564526300385428	115645.26300385428
23	14769	4.464712177367184	647362	7.572657149170568	75726.57149170568
24	12542	3.791483521466532	499551	5.8436059755211245	58436.059755211245
25	10950	3.3102172348954335	221091	2.586259838803127	25862.59838803127
26	10074	3.0453998561037987	193285	2.2609931337913456	22609.93133791346
27	10030	3.0320985265754516	205017	2.3982307437747385	23982.307437747386
28	9487	2.8679480280778975	176591	2.0657114545326722	20657.114545326724
29	9375	2.8340900983693778	151431	1.771396907381107	17713.96907381107
30	9323	2.8183703452904223	134448	1.5727345880538006	15727.345880538007
31	9456	2.8585766368192895	268828	3.14467373138557	31446.7373138557
32	9553	2.8879000223704177	386797	4.524641649228296	45246.41649228296
33	9516	2.8767148134488534	367775	4.3021276859565525	43021.27685956552
34	8650	2.6149204640954795	295690	3.458897792020917	34588.977920209174
35	7975	2.410865977012884	116718	1.3653340745006508	13653.340745006508
36	7804	2.3591721736186266	126593	1.48084902494269	14808.4902494269
37	7473	2.2591098992121985	140680	1.6456347572846652	16456.347572846655
38	7236	2.187464101525421	185265	2.167177447457659	21671.774474576592
39	6920	2.0919363712763834	148134	1.7328295360790915	17328.295360790915
40	6214	1.8785104929351801	123000	1.4388191295565385	14388.191295565384
41	5881	1.7778436126411	78652	0.9200487981941533	9200.487981941533
42	5299	1.601903299334329	42244	0.49415833584541796	4941.58335845418
43	4546	1.3742691826333004	31042	0.3631205156072688	3631.205156072688
44	4413	1.3340628911044337	30182	0.3530604794168735	3530.604794168735
45	4177	1.2627193963614818	32904	0.3849016637311247	3849.0166373112475
46	3970	1.200142686989486	38539	0.4508182962112149	4508.18296211215
47	3764	1.137868280561316	36755	0.4299495699743949	4299.4956997439485
48	3557	1.0752915711893203	32374	0.37870187398588107	3787.018739858811
49	3376	1.020574738356802	34514	0.40373498729686474	4037.349872968648
50	3273	0.9894375351427173	36807	0.4305578512324188	4305.578512324188
51	3115	0.9416736700181987	51799	0.60593001700731	6059.3001700731
52	2739	0.8280077631395975	22394	0.26195866331129364	2619.586633112937
53	2335	0.7058773738338664	16150	0.18891812148242354	1889.1812148242354
54	2148	0.6493467233383918	13872	0.16227072329437642	1622.7072329437644
55	2009	0.6073266141465685	14138	0.1653823158834987	1653.823158834987
56	1903	0.5752825021010055	13112	0.1533804587540271	1533.8045875402709
57	1660	0.5018228867512712	13417	0.15694826228666728	1569.482622866673
58	1456	0.4401530862107535	8179	0.09567562325725958	956.7562325725958
