Read Length (nt)	UR	Percentage_UR	RC	32170419_EXO_S34	RPM
15	5335	4.357200610906477	252400	5.978059290789952	59780.59290789952
16	4817	3.9341397081043117	235519	5.578235127209028	55782.35127209028
17	6784	5.540627730907131	265223	6.2817702824135635	62817.70282413563
18	4401	3.594384234039252	182883	4.331558705537	43315.58705536999
19	2815	2.2990664891662105	108399	2.567415408329398	25674.154083293975
20	4063	3.31833291136139	180407	4.2729149860283	42729.149860282996
21	5767	4.710023603204809	265433	6.28674410353506	62867.4410353506
22	7778	6.352447301149125	615247	14.57204058827514	145720.4058827514
23	7288	5.952254555255184	379328	8.984331516072784	89843.31516072784
24	5569	4.548313065068074	259304	6.141579581374793	61415.79581374792
25	4145	3.385303942306907	123815	2.932541248372258	29325.41248372258
26	3822	3.121503417972738	106524	2.5230062911731728	25230.062911731726
27	3604	2.9434584820444134	84663	2.0052315124253157	20052.315124253157
28	3465	2.8299344173928667	81534	1.9311215777150077	19311.215777150075
29	3397	2.7743974649014627	77797	1.842611246614841	18426.11246614841
30	3366	2.749079148324499	71330	1.689441240935211	16894.41240935211
31	3353	2.738461789759966	74842	1.7726224779766306	17726.224779766304
32	3880	3.168873171568347	120845	2.8621972067967976	28621.972067967974
33	4200	3.430223536233778	131098	3.105038101838277	31050.38101838277
34	3852	3.146005014660122	151848	3.596498998367166	35964.98998367166
35	3056	2.4958959825548632	89952	2.130500750099595	21305.007500995947
36	2454	2.0042306090280215	50240	1.1899274911619935	11899.274911619936
37	2245	1.8335361521059121	37383	0.8854112142139492	8854.112142139491
38	2002	1.6350732189381008	31196	0.7388729700296487	7388.729700296487
39	1855	1.5150153951699186	27768	0.6576812614368279	6576.812614368279
40	1687	1.3778064537205674	25148	0.5956269217305298	5956.269217305297
41	1653	1.3500379774748654	24240	0.5741210665956752	5741.210665956753
42	1386	1.1319737669571468	18074	0.4280802045235245	4280.802045235245
43	1254	1.0241667415326565	16332	0.3868211740775812	3868.211740775812
44	1224	0.9996651448452725	18496	0.4380752164914855	4380.752164914855
45	1253	1.023350021643077	16086	0.3809946979066845	3809.9469790668445
46	1072	0.8755237216291928	10521	0.24918843818700903	2491.8843818700902
47	1046	0.8542890045001266	10993	0.26036769327913606	2603.6769327913603
48	1049	0.856739164168865	11959	0.2832472704380231	2832.472704380231
49	999	0.8159031696898914	10885	0.2578097281309375	2578.097281309375
50	918	0.7497488586339544	7799	0.18471824250741217	1847.1824250741217
51	778	0.6354080740928284	6393	0.15141732585586434	1514.1732585586435
52	931	0.7603662171984874	8915	0.21115054903879724	2111.5054903879723
53	818	0.6680768696760072	11199	0.2652467749507	2652.4677495069996
54	713	0.5823212812701628	5738	0.13590374092928978	1359.0374092928978
55	643	0.5251508889995998	4605	0.1090687917356883	1090.687917356883
56	623	0.5088164912080104	3896	0.09227622423501447	922.7622423501447
57	553	0.45164609893744745	2969	0.07032035671297689	703.2035671297689
58	528	0.43122810169796066	2880	0.06821240395196142	682.1240395196141
