Read Length (nt)	UR	Percentage_UR	RC	32150993_EXO_S16	RPM
15	6431	3.5133821014734243	262883	5.255712233046433	52557.122330464335
16	6821	3.7264467911911408	274837	5.494703662822558	54947.036628225585
17	9819	5.364313303431434	369934	7.395939064982517	73959.39064982517
18	5901	3.2238326513442197	261801	5.234080249859402	52340.80249859402
19	4444	2.4278448233475194	190453	3.807648885323099	38076.48885323099
20	6264	3.4221467086968635	240395	4.806118852353318	48061.18852353318
21	7947	4.341602792786395	268897	5.375947673792092	53759.47673792093
22	9131	4.988445337980693	326883	6.535238040782086	65352.38040782086
23	8618	4.708183323044312	276304	5.524032793446748	55240.32793446749
24	8136	4.444857219341904	245802	4.914218790516235	49142.18790516235
25	7742	4.229607250755287	219407	4.386514357779007	43865.14357779008
26	7655	4.182077435356719	222717	4.4526898331478355	44526.898331478355
27	7441	4.065165015870588	201368	4.025868013314266	40258.68013314266
28	6710	3.6658053025791753	172266	3.4440436374279693	34440.43637427969
29	6952	3.7980146741476046	179838	3.595427534555694	35954.27534555694
30	6976	3.8111263473610024	171885	3.436426460353793	34364.26460353793
31	6351	3.4696765240954313	151786	3.0345953789525604	30345.953789525603
32	6124	3.3456619482853758	146802	2.934952306675146	29349.523066751462
33	6048	3.304141649776282	142440	2.847744625841663	28477.446258416632
34	5671	3.0981791163824894	135719	2.7133744234386734	27133.744234386737
35	4960	2.709745797435575	97921	1.9576944784262953	19576.944784262952
36	4308	2.353545341804931	76303	1.5254946516820866	15254.946516820868
37	4066	2.2213359702365016	70097	1.40142063351322	14014.206335132201
38	3561	1.94544451303792	58450	1.168566929096077	11685.66929096077
39	3304	1.805040345711117	49889	0.9974103597206875	9974.103597206877
40	2820	1.5406216025742585	38386	0.7674355883709497	7674.355883709498
41	2541	1.3881984014685074	32346	0.6466803402658975	6466.803402658975
42	2143	1.1707631540129915	24034	0.4805019259862295	4805.019259862295
43	1999	1.0920931147326038	22084	0.44151637403178384	4415.163740317838
44	1757	0.9598837431641746	16622	0.3323168433778442	3323.168433778442
45	1567	0.8560829968914409	12664	0.25318616920569237	2531.861692056924
46	1340	0.7320684210813853	9453	0.18898996032070514	1889.8996032070515
47	1258	0.6872702042689423	8307	0.1660784513259386	1660.7845132593861
48	1106	0.6042296072507553	6366	0.12727283268820574	1272.7283268820577
49	910	0.4971509426746721	4334	0.08664788829259876	866.4788829259877
50	852	0.46546439907562703	3397	0.06791483076371897	679.1483076371898
51	675	0.3687658091268172	2458	0.04914178805334743	491.4178805334743
52	612	0.3343476669416476	1761	0.035206952303476334	352.06952303476334
53	523	0.2857252121086302	1612	0.032228056282341766	322.28056282341765
54	449	0.24529755303398654	999	0.01997259815512371	199.7259815512371
55	385	0.21033309113159204	750	0.014994443059402186	149.94443059402187
56	311	0.16990543205694836	548	0.01095593972873653	109.55939728736531
57	242	0.13220937156842927	380	0.0075971844834304405	75.9718448343044
58	172	0.09396699136268527	275	0.005497962455114135	54.97962455114135
