Read Length (nt)	UR	Percentage_UR	RC	180913-190529_Brain_S36	RPM
15	1839	1.9157646911753983	32276	0.5525961971259724	5525.961971259725
16	1634	1.702207452626754	22065	0.3777740454078753	3777.740454078753
17	2915	3.0366797578990137	39876	0.6827155148282091	6827.155148282091
18	3734	3.8898669694665235	92899	1.5905203283184322	15905.203283184323
19	4565	4.755555092558833	210732	3.6079347444773338	36079.34744477334
20	7582	7.898492598418635	414394	7.094824281565876	70948.24281565877
21	12376	12.892606752575709	1434330	24.557110652611726	245571.10652611728
22	16431	17.116873105330598	2498555	42.77766734756736	427776.6734756736
23	12820	13.35514047899326	654650	11.208238333390689	112082.3833339069
24	7290	7.5943037513152	252931	4.330422256019003	43304.22256019003
25	3845	4.005500401070911	26686	0.4568900147634063	4568.900147634063
26	2628	2.7376996239309115	8929	0.1528730773372725	1528.7307733727253
27	2166	2.2564145302261625	9005	0.1541742705142949	1541.742705142949
28	1898	1.977227506172325	7835	0.13414274397329268	1341.4274397329268
29	1718	1.7897138333003448	8614	0.14747997403777194	1474.7997403777194
30	1750	1.8230495973664747	12382	0.2119917620775124	2119.9176207751243
31	1781	1.8553436188055379	30697	0.5255621967770472	5255.621967770472
32	1846	1.923056889564864	33349	0.5709669902699857	5709.669902699857
33	1654	1.7230423051680852	25263	0.43252688461994804	4325.26884619948
34	1077	1.1219568093506818	9821	0.16814497620442978	1681.4497620442978
35	590	0.6146281499692686	2457	0.04206620573610467	420.6620573610467
36	503	0.5239965414144782	2339	0.04004593211914889	400.4593211914889
37	368	0.38336128676049297	939	0.01607658412136845	160.76584121368452
38	321	0.33439938328836477	860	0.014724028055779412	147.24028055779414
39	267	0.2781452814267707	880	0.01506644731289056	150.66447312890563
40	225	0.2343920910899753	694	0.011881948221756875	118.81948221756875
41	199	0.20730678278624484	537	0.009193957053434353	91.93957053434355
42	187	0.19480587126144613	659	0.011282714521812363	112.82714521812365
43	198	0.20626504015917826	1133	0.019398050915346597	193.980509153466
44	221	0.23022512058170908	2394	0.04098758507620455	409.8758507620455
45	173	0.18022147448251435	605	0.010358182527612262	103.58182527612261
46	134	0.13959351202691864	262	0.004485692268156053	44.85692268156054
47	138	0.14376048253518486	239	0.004091910122478232	40.919101224782324
48	115	0.11980040211265405	198	0.0033899506454003765	33.89950645400376
49	107	0.11146646109612159	165	0.0028249588711669804	28.249588711669805
50	81	0.08438115279239111	111	0.0019004268769668776	19.004268769668776
51	82	0.08542289541945768	113	0.0019346688026779925	19.346688026779926
52	85	0.08854812330065734	125	0.002140120356944682	21.40120356944682
53	87	0.09063160855479045	152	0.002602386354044733	26.023863540447334
54	63	0.06562978550519309	145	0.002482539614055831	24.82539614055831
55	87	0.09063160855479045	143	0.002448297688344716	24.482976883447165
56	78	0.08125592491119144	144	0.002465418651200274	24.654186512002738
57	67	0.06979675601345932	108	0.0018490639884002052	18.490639884002054
58	68	0.07083849864052587	102	0.0017463382112668606	17.463382112668604
